MiSeq_plate,MiSeq_input,MiSeq_filtered,MiSeq_denoisedF,MiSeq_denoisedR,MiSeq_merged,MiSeq_nonchim,MiSeq_perc_pass_filter,AVITI_plate,AVITI_input,AVITI_filtered,AVITI_denoisedF,AVITI_denoisedR,AVITI_merged,AVITI_nonchim,AVITI_perc_pass_filter,Order
FD1,79363,50800,50019,50265,47887,46544,58.64697655,FK1,581091,383579,382473,382566,377351,356551,61.35889215,1
FD2,100645,62315,61312,61445,58587,56741,56.37736599,FK2,737428,474687,473053,473343,466380,437639,59.3466752,2
FD3,78091,48449,47759,47738,45593,44036,56.3906212,FK3,597138,377908,376846,376984,371976,349756,58.57205537,3
FD4,89566,71075,70411,70640,68242,65943,73.62503629,FK4,669804,510409,509776,509274,503399,474996,70.91567085,4
FD5,71922,44877,43910,44274,41954,40686,56.56961709,FK5,538460,351525,350453,350485,346518,328122,60.93711696,5
FD6,85199,65888,65211,65194,62101,60492,71.00083334,FK6,321526,243721,242780,243218,223491,212050,65.95112059,6
FD7,85912,60242,59046,57441,53536,52086,60.62715337,FK7,677687,508242,506613,506677,500798,477366,70.44048359,7
FD8,75086,50710,49454,49955,47336,46173,61.49348747,FK8,558356,395441,393860,393871,389621,372063,66.63544405,8
FD9,67202,46397,45328,45777,43472,42294,62.93562692,FK9,586887,409372,408328,408259,404143,384012,65.43201673,9
FD10,76767,63274,62745,62877,60857,59396,77.37178736,FK10,635525,538919,538457,538266,534712,509395,80.15341647,10
FD11,80235,62673,62120,62266,60319,58589,73.02174861,FK11,646760,471942,469596,471180,461850,438449,67.7916074,11
FD12,101086,90702,89853,90053,85622,82389,81.50386799,FK12,786812,727623,725822,726844,716506,674106,85.67561247,12
FD13,74032,53761,52969,53185,51258,49857,67.34520207,FK13,556570,421501,420944,420686,416956,395960,71.14289308,13
FD14,90090,67925,67256,67419,65769,64487,71.58064158,FK14,631901,502191,501853,500791,497159,478601,75.73987064,14
FD15,97475,76976,76386,76533,74865,73410,75.31161836,FK15,686094,551605,550915,549733,544499,524237,76.40891773,15
FD16,93642,64647,63724,63775,61503,59373,63.40424169,FK16,668395,454643,453682,453988,449770,424041,63.44167745,16
FD17,83928,71363,70679,70880,67834,65622,78.18844724,FK17,527931,464480,463898,463877,459560,434093,82.22532869,17
FD18,100505,86508,85283,85987,82950,80210,79.80697478,FK18,702419,629236,628676,628150,624165,591216,84.16856606,18
FD19,93397,72465,71964,71914,70306,68270,73.09656627,FK19,715897,583839,583415,582575,578918,550989,76.96484271,19
FD20,83352,59631,59144,59117,57481,56178,67.39850274,FK20,675159,501198,500655,500125,496230,473567,70.14155184,20
FD21,72853,45934,45124,45354,43245,41764,57.32639699,FK21,581524,376636,375828,375876,371076,348185,59.87457095,21
FD22,91669,76375,75543,75741,72818,70341,76.73368314,FK22,720522,611837,611215,611032,605257,572136,79.40576415,22
FD23,79864,63479,62770,62913,61142,59277,74.22242813,FK23,545162,453404,453033,452682,449995,427832,78.47795701,23
FD24,82602,62468,61802,62080,60575,59228,71.70286434,FK24,688793,536737,536304,535390,531590,510313,74.08800612,24
FD25,77734,48888,48224,48465,46561,45403,58.40816116,FK25,561731,371727,371113,371152,367887,346754,61.7295467,25
FD26,103013,76290,75680,75706,73577,71164,69.08254298,FK26,794011,570617,568597,569372,559894,529087,66.63471917,26
FD27,115490,105891,105024,105302,99943,90230,78.12797645,FK27,1067968,1000469,999530,998847,988790,866436,81.12939714,27
FD28,89721,75346,74135,74658,71844,69292,77.23052574,FK28,707647,596109,595444,595208,589979,554966,78.42412954,28
FD29,83312,62837,62383,62435,60786,59162,71.01257922,FK29,620554,474722,474305,473956,470544,447791,72.1598765,29
FD30,103031,71896,71079,71384,68865,66790,64.82514971,FK30,706251,501998,501187,501164,497104,470031,66.55296771,30
FD31,84775,57711,56828,56942,54508,52970,62.48304335,FK31,676469,456262,455707,455598,451572,428431,63.33342696,31
FD32,89230,81590,80912,81132,77392,72289,81.01423288,FK32,859538,807494,806553,806487,797898,726343,84.50388465,32
FD33,83831,74541,73647,74029,71067,68463,81.66787942,FK33,698706,626684,625781,625876,618662,582110,83.31258068,33
FD34,73540,65530,64548,65133,62431,60076,81.69159641,FK34,639695,579044,578116,578205,572299,536460,83.86184041,34
FD35,112999,89562,89027,89155,87161,84035,74.36791476,FK35,956932,739899,737979,738322,729124,688664,71.96582411,35
FD36,86839,61744,61012,61312,59381,57822,66.58529002,FK36,797628,545496,543018,544543,534766,508329,63.7300847,36
FD37,83393,70262,69532,69759,67035,64445,77.27866847,FK37,631533,554336,553601,553582,548468,515276,81.59130243,37
FD38,103223,88674,87947,88232,85284,82493,79.9172665,FK38,885078,778384,777159,777250,769894,728197,82.27489555,38
FD39,93559,80251,79692,79853,77198,74668,79.80846311,FK39,696970,620196,619487,619302,613685,579994,83.21649425,39
FD40,118834,93126,91959,92200,88636,85415,71.87757712,FK40,784213,654506,651965,653449,643497,606236,77.3050179,40
FD41,100382,59491,58171,58773,55622,54072,53.866231,FK41,865500,524765,523395,523303,516575,488671,56.46112074,41
FD42,87515,77252,76686,76824,74517,71895,82.15163115,FK42,648325,592668,592133,592247,585225,552005,85.14325377,42
FD43,99566,84182,83176,83513,80714,77961,78.30082558,FK43,719063,628018,627372,627326,620843,584937,81.34711423,43
FD44,90133,72472,71911,71818,69852,68117,75.57387416,FK44,661154,557466,556839,556425,551592,525444,79.47376859,44
FD45,111713,90326,89809,89844,87934,85869,76.8657184,FK45,796159,667984,667299,665708,659548,633452,79.56350427,45
FD46,75558,53858,53227,53337,51235,49284,65.22671325,FK46,608633,403281,402656,402713,396755,372102,61.13733564,46
FD47,98305,81629,80964,81008,77876,74974,76.26672092,FK47,677397,581815,581210,581327,574713,540467,79.78585674,47
FD48,94476,83088,82430,82660,80658,77703,82.24628477,FK48,734377,665933,665478,665399,657452,619851,84.40501268,48
FD49,84543,65207,64355,64819,62753,61144,72.32295991,FK49,621306,496619,496180,496000,491909,467729,75.28158428,49
FD50,92423,61736,60471,61191,58343,56588,61.22718371,FK50,725650,502227,501466,501625,497427,470053,64.77682078,50
FD51,109925,84779,83877,84153,81841,80040,72.81328178,FK51,823372,590157,587384,589355,578645,554023,67.28708287,51
FD52,92947,82016,80965,81263,76972,74517,80.17149558,FK52,694274,636372,635751,635782,629353,597530,86.0654439,52
FD53,75016,65239,64596,64777,62484,60289,80.36818812,FK53,597882,529486,528924,528961,519337,489260,81.832201,53
FD54,86869,71354,70520,70769,68441,66165,76.16641149,FK54,674012,571488,571052,571071,564472,533780,79.19443571,54
FD55,85533,55390,54642,53782,51443,50402,58.92696386,FK55,616088,408412,407894,407780,404732,387054,62.82446663,55
FD56,94342,60576,59521,59907,57397,55756,59.09987068,FK56,700053,473204,472398,472451,467904,443073,63.2913508,56
FD57,100737,68836,68033,68124,64934,62990,62.52916009,FK57,673193,474705,472576,473486,466094,439985,65.35792856,57
FD58,78705,50832,50063,50428,48297,47061,59.7941681,FK58,674758,443589,442920,442868,439293,417356,61.85269385,58
FD59,85494,73836,73049,72980,69923,67507,78.96109669,FK59,658245,581801,581087,581358,576000,541692,82.29337101,59
