sample_id,input,filtered,denoisedF,denoisedR,merged,nonchim,perc_pass_filter,Order,sequencer
FD1,79363,50800,50019,50265,47887,46544,58.64697655,1,MiSeq
FD2,100645,62315,61312,61445,58587,56741,56.37736599,2,MiSeq
FD3,78091,48449,47759,47738,45593,44036,56.3906212,3,MiSeq
FD4,89566,71075,70411,70640,68242,65943,73.62503629,4,MiSeq
FD5,71922,44877,43910,44274,41954,40686,56.56961709,5,MiSeq
FD6,85199,65888,65211,65194,62101,60492,71.00083334,6,MiSeq
FD7,85912,60242,59046,57441,53536,52086,60.62715337,7,MiSeq
FD8,75086,50710,49454,49955,47336,46173,61.49348747,8,MiSeq
FD9,67202,46397,45328,45777,43472,42294,62.93562692,9,MiSeq
FD10,76767,63274,62745,62877,60857,59396,77.37178736,10,MiSeq
FD11,80235,62673,62120,62266,60319,58589,73.02174861,11,MiSeq
FD12,101086,90702,89853,90053,85622,82389,81.50386799,12,MiSeq
FD13,74032,53761,52969,53185,51258,49857,67.34520207,13,MiSeq
FD14,90090,67925,67256,67419,65769,64487,71.58064158,14,MiSeq
FD15,97475,76976,76386,76533,74865,73410,75.31161836,15,MiSeq
FD16,93642,64647,63724,63775,61503,59373,63.40424169,16,MiSeq
FD17,83928,71363,70679,70880,67834,65622,78.18844724,17,MiSeq
FD18,100505,86508,85283,85987,82950,80210,79.80697478,18,MiSeq
FD19,93397,72465,71964,71914,70306,68270,73.09656627,19,MiSeq
FD20,83352,59631,59144,59117,57481,56178,67.39850274,20,MiSeq
FD21,72853,45934,45124,45354,43245,41764,57.32639699,21,MiSeq
FD22,91669,76375,75543,75741,72818,70341,76.73368314,22,MiSeq
FD23,79864,63479,62770,62913,61142,59277,74.22242813,23,MiSeq
FD24,82602,62468,61802,62080,60575,59228,71.70286434,24,MiSeq
FD25,77734,48888,48224,48465,46561,45403,58.40816116,25,MiSeq
FD26,103013,76290,75680,75706,73577,71164,69.08254298,26,MiSeq
