AVITI_subsetted_plate,AVITI_subsetted_input,AVITI_subsetted_filtered,AVITI_subsetted_denoisedF,AVITI_subsetted_denoisedR,AVITI_subsetted_merged,AVITI_subsetted_nonchim,AVITI_subsetted_perc_pass_filter,Order,AVITI_plate,AVITI_input,AVITI_filtered,AVITI_denoisedF,AVITI_denoisedR,AVITI_merged,AVITI_nonchim,AVITI_perc_pass_filter
FK1,79356,52267,52080,52058,51487,49740,62.67957054,1,FK1,581091,383579,382473,382566,377351,356551,61.35889215
FK2,100451,64641,64402,64351,63613,60856,60.5827717,2,FK2,737428,474687,473053,473343,466380,437639,59.3466752
FK3,77967,49202,49049,49054,48502,46638,59.81761514,3,FK3,597138,377908,376846,376984,371976,349756,58.57205537
FK4,89381,68119,67954,67997,67520,64576,72.24801692,4,FK4,669804,510409,509776,509274,503399,474996,70.91567085
FK5,71819,46858,46634,46643,46085,44480,61.93347164,5,FK5,538460,351525,350453,350485,346518,328122,60.93711696
FK6,85161,64516,64341,64365,61976,59978,70.42895222,6,FK6,321526,243721,242780,243218,223491,212050,65.95112059
FK7,85682,64327,64054,64065,63459,61387,71.64515301,7,FK7,677687,508242,506613,506677,500798,477366,70.44048359
FK8,75008,53143,52858,52843,52232,50884,67.83809727,8,FK8,558356,395441,393860,393871,389621,372063,66.63544405
FK9,67041,46846,46669,46665,46286,44751,66.75168926,9,FK9,586887,409372,408328,408259,404143,384012,65.43201673
FK10,76725,65119,64978,65030,64672,62114,80.95666341,10,FK10,635525,538919,538457,538266,534712,509395,80.15341647
FK11,80076,58562,58392,58449,57937,55903,69.81242819,11,FK11,646760,471942,469596,471180,461850,438449,67.7916074
FK12,100778,93226,93055,93099,92197,87867,87.18867213,12,FK12,786812,727623,725822,726844,716506,674106,85.67561247
FK13,73946,55929,55846,55824,55543,53654,72.55835339,13,FK13,556570,421501,420944,420686,416956,395960,71.14289308
FK14,90001,71575,71472,71445,71170,69365,77.07136587,14,FK14,631901,502191,501853,500791,497159,478601,75.73987064
FK15,97272,78156,77973,78048,77640,75752,77.8764701,15,FK15,686094,551605,550915,549733,544499,524237,76.40891773
FK16,93408,63452,63264,63298,62841,60134,64.37778349,16,FK16,668395,454643,453682,453988,449770,424041,63.44167745
FK17,83911,73826,73713,73742,73271,70360,83.85074662,17,FK17,527931,464480,463898,463877,459560,434093,82.22532869
FK18,100356,89692,89626,89610,89297,85537,85.2335685,18,FK18,702419,629236,628676,628150,624165,591216,84.16856606
FK19,93258,76069,75977,75986,75661,72839,78.10482747,19,FK19,715897,583839,583415,582575,578918,550989,76.96484271
FK20,83164,61709,61603,61588,61289,59367,71.38545525,20,FK20,675159,501198,500655,500125,496230,473567,70.14155184
FK21,72805,46899,46762,46715,46236,44231,60.75269556,21,FK21,581524,376636,375828,375876,371076,348185,59.87457095
FK22,91533,77760,77682,77658,77172,74016,80.8626397,22,FK22,720522,611837,611215,611032,605257,572136,79.40576415
FK23,79770,66338,66280,66259,66013,63457,79.54995612,23,FK23,545162,453404,453033,452682,449995,427832,78.47795701
FK24,82530,64278,64174,64167,63913,62114,75.26232885,24,FK24,688793,536737,536304,535390,531590,510313,74.08800612
FK25,77592,51328,51212,51173,50765,48938,63.07093515,25,FK25,561731,371727,371113,371152,367887,346754,61.7295467
FK26,102674,73877,73660,73731,73105,70141,68.31427625,26,FK26,794011,570617,568597,569372,559894,529087,66.63471917
FK27,115116,107827,107681,107615,106668,95494,82.95458494,27,FK27,1067968,1000469,999530,998847,988790,866436,81.12939714
FK28,89571,75421,75261,75312,74710,71362,79.67087562,28,FK28,707647,596109,595444,595208,589979,554966,78.42412954
FK29,83251,63562,63446,63438,63094,60916,73.17149344,29,FK29,620554,474722,474305,473956,470544,447791,72.1598765
FK30,102967,73050,72889,72866,72406,69633,67.62652112,30,FK30,706251,501998,501187,501164,497104,470031,66.55296771
FK31,84544,56865,56737,56706,56242,54279,64.20207229,31,FK31,676469,456262,455707,455598,451572,428431,63.33342696
FK32,89008,83615,83491,83470,82861,76710,86.18326443,32,FK32,859538,807494,806553,806487,797898,726343,84.50388465
FK33,83737,75018,74923,74913,74332,70900,84.6698592,33,FK33,698706,626684,625781,625876,618662,582110,83.31258068
FK34,73385,66470,66388,66351,65828,62663,85.38938475,34,FK34,639695,579044,578116,578205,572299,536460,83.86184041
FK35,112770,87344,87157,87236,86735,83096,73.68626408,35,FK35,956932,739899,737979,738322,729124,688664,71.96582411
FK36,86494,59194,59030,59063,58616,56732,65.59067681,36,FK36,797628,545496,543018,544543,534766,508329,63.7300847
FK37,83276,73132,73044,73027,72501,69032,82.89543206,37,FK37,631533,554336,553601,553582,548468,515276,81.59130243
FK38,103020,90397,90266,90263,89627,85744,83.23044069,38,FK38,885078,778384,777159,777250,769894,728197,82.27489555
FK39,93426,83124,83021,83018,82481,78989,84.54712821,39,FK39,696970,620196,619487,619302,613685,579994,83.21649425
FK40,118647,98954,98767,98774,98086,93731,78.99989043,40,FK40,784213,654506,651965,653449,643497,606236,77.3050179
FK41,100130,60714,60515,60497,59863,57839,57.76390692,41,FK41,865500,524765,523395,523303,516575,488671,56.46112074
FK42,87337,79825,79677,79688,78891,75552,86.50629172,42,FK42,648325,592668,592133,592247,585225,552005,85.14325377
FK43,99443,86910,86731,86770,86074,82297,82.75796185,43,FK43,719063,628018,627372,627326,620843,584937,81.34711423
FK44,89957,75743,75571,75649,75190,72585,80.6885512,44,FK44,661154,557466,556839,556425,551592,525444,79.47376859
FK45,111417,93378,93167,93266,92838,90242,80.99482126,45,FK45,796159,667984,667299,665708,659548,633452,79.56350427
FK46,75496,49955,49830,49824,49276,46963,62.20594469,46,FK46,608633,403281,402656,402713,396755,372102,61.13733564
FK47,98123,84376,84155,84225,83364,79608,81.1308256,47,FK47,677397,581815,581210,581327,574713,540467,79.78585674
FK48,94336,85584,85436,85484,84623,80638,85.47956242,48,FK48,734377,665933,665478,665399,657452,619851,84.40501268
FK49,84509,67471,67355,67368,66978,64720,76.58355915,49,FK49,621306,496619,496180,496000,491909,467729,75.28158428
FK50,92235,63824,63701,63677,63318,60879,66.00422833,50,FK50,725650,502227,501466,501625,497427,470053,64.77682078
FK51,109604,78632,78431,78499,77987,75839,69.19364257,51,FK51,823372,590157,587384,589355,578645,554023,67.28708287
FK52,92841,85109,84964,84965,84295,80903,87.1414569,52,FK52,694274,636372,635751,635782,629353,597530,86.0654439
FK53,74894,66414,66296,66338,65226,62421,83.34579539,53,FK53,597882,529486,528924,528961,519337,489260,81.832201
FK54,86628,73456,73337,73381,72645,69588,80.32968555,54,FK54,674012,571488,571052,571071,564472,533780,79.19443571
FK55,85436,56549,56440,56423,56068,54518,63.81150803,55,FK55,616088,408412,407894,407780,404732,387054,62.82446663
FK56,94188,63856,63726,63695,63244,61125,64.89680214,56,FK56,700053,473204,472398,472451,467904,443073,63.2913508
FK57,100518,70874,70564,70625,69939,67452,67.10439921,57,FK57,673193,474705,472576,473486,466094,439985,65.35792856
FK58,78579,51570,51429,51414,51045,49392,62.85648837,58,FK58,674758,443589,442920,442868,439293,417356,61.85269385
FK59,85276,75452,75373,75362,74897,71354,83.67418734,59,FK59,658245,581801,581087,581358,576000,541692,82.29337101
FK60,85630,74381,74282,74276,73703,70308,82.10673829,60,FK60,785931,683257,682052,682570,674401,633400,80.59231663
FK61,94294,80738,80637,80593,80064,76548,81.18013872,61,FK61,708813,606122,605215,605520,597557,560898,79.13201366
FK62,72982,49711,49577,49599,49251,47606,65.22978269,62,FK62,298087,203177,202734,202828,200733,191006,64.07726603
FK63,94675,75726,75538,75603,75128,72003,76.05281225,63,FK63,739378,591913,590333,590623,583003,551206,74.54995956
FK64,103402,88908,88820,88850,88578,85899,83.07286126,64,FK64,792501,680197,679644,679521,674755,648566,81.83787781
FK65,115285,99615,99496,99546,99051,94183,81.69579737,65,FK65,873500,755947,755235,755212,748829,705948,80.81831712
FK66,124656,105865,105715,105748,105117,100018,80.23520729,66,FK66,881532,748515,747195,747831,740621,695173,78.85964435
FK67,103677,78476,78282,78277,77660,74690,72.04105057,67,FK67,625585,473516,472607,472683,468012,442635,70.75537297
FK68,97049,77269,77098,77119,76584,74006,76.25632412,68,FK68,696466,554652,553796,553885,549367,522507,75.02261417
FK69,106587,93361,93222,93186,92802,89299,83.78038598,69,FK69,849725,744861,743683,743874,737370,704447,82.90293919
FK70,115991,96917,96707,96770,96153,91621,78.9897492,70,FK70,834433,698571,696331,697740,688003,645648,77.37565509
FK71,98456,80105,79985,79891,79323,76822,78.02673275,71,FK71,772589,627426,626619,626882,620548,591425,76.55105108
FK72,99694,74812,74641,74708,74200,71099,71.31723073,72,FK72,738576,554198,553295,552963,546585,516372,69.91453825
FK73,100607,76764,76597,76662,76184,73137,72.69573688,73,FK73,749649,572279,571302,570940,564588,534521,71.30283639
FK74,98625,72615,72462,72517,72009,68861,69.82103929,74,FK74,646148,475840,474956,474787,468807,442323,68.45536936
FK75,101788,74554,74413,74432,73922,70334,69.09851849,75,FK75,729631,534119,533105,533503,527592,494256,67.74054282
FK76,111155,81359,81174,81236,80587,76909,69.19076965,76,FK76,847586,620502,618758,619653,611024,574580,67.79017114
FK77,93398,73311,73140,73225,72733,69514,74.42771794,77,FK77,641228,503032,501452,502113,494375,466750,72.79002165
FK78,80986,62320,62185,62242,61823,59035,72.89531524,78,FK78,615324,473214,472064,472419,466300,439060,71.3542784
FK79,81977,60337,60195,60230,59764,57203,69.77932835,79,FK79,604162,444654,443847,443798,438675,413414,68.42767337
FK80,94892,73295,73161,73189,72783,69897,73.65952873,80,FK80,678380,522910,522105,521640,516298,489245,72.11960848
FK81,98633,72975,72808,72856,72379,69217,70.17631016,81,FK81,756805,560193,559186,559145,552818,519429,68.6344567
