"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_1",-0.000666706041105519,-0.120083308214435,0.122320391324336,"ASV_1","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"2","ASV_2",-0.0153792336723507,-0.000120869312498886,0.176709038752089,"ASV_2","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"3","ASV_3",-0.029935368672649,-0.00172326865711646,0.0482514043925894,"ASV_3","Metazoa","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","no_hit"
"4","ASV_4",0.103025307990967,-0.0448302885162057,0.140529292280237,"ASV_4","Metazoa","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","no_hit"
"5","ASV_5",0.0656026329555121,-0.0743795623090801,0.109316565407355,"ASV_5","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","no_hit"
"6","ASV_6",0.0317932268442976,-0.0419248053000221,0.104432944095779,"ASV_6","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","no_hit"
"7","ASV_7",0.0771841722422908,-0.0139054668375224,0.0892045903831493,"ASV_7","Metazoa","Arthropoda","Hexanauplia","Calanoida","Calanidae","no_hit","no_hit"
"8","ASV_8",-0.0445314486867978,0.00513696056575555,0.150758498623859,"ASV_8","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"9","ASV_9",0.0343700535963374,-0.0139596187219568,0.150460879424282,"ASV_9","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","no_hit","no_hit"
"10","ASV_10",-0.0100434898187958,0.00324389472199735,0.161041257901491,"ASV_10","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"11","ASV_11",-0.0866431798558091,0.113650994885274,0.0673895849706496,"ASV_11","no_hit","unknown","unknown","unknown","unknown","unknown","Acantharian sp. 6201"
"12","ASV_12",-0.0280115240470572,-0.0771422544321077,0.0843693421440324,"ASV_12","Metazoa","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Oikopleura dioica"
"13","ASV_13",-0.098280558204744,-0.0343128861229808,0.0539017420868976,"ASV_13","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"14","ASV_14",-0.0834305405389269,0.053805450876067,0.067082326355255,"ASV_14","Metazoa","Cnidaria","Hydrozoa","Siphonophorae","no_hit","no_hit","no_hit"
"15","ASV_15",-0.109210979287574,0.0494053108340594,0.0614124558404653,"ASV_15","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"16","ASV_16",0.0545711037896255,-0.018273098658481,0.0787914043604277,"ASV_16","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","no_hit"
"17","ASV_17",0.0255930604231865,-0.0388791203682281,0.116977970077722,"ASV_17","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","no_hit"
"18","ASV_18",0.057937301438227,-0.0217086283434826,0.0756759339281108,"ASV_18","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","no_hit"
"19","ASV_19",-0.031631888348057,-0.099142667053423,0.0271697860762326,"ASV_19","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"20","ASV_20",0.0468923464125671,-0.0339730153730855,0.052408876351095,"ASV_20","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Akashiwo","Akashiwo sanguinea"
"21","ASV_21",0.0179402047732167,-0.0686949119150974,0.0613587622023167,"ASV_21","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros tenuissimus"
"22","ASV_22",-0.0338759492541949,-0.0459065140748141,0.0723623451027377,"ASV_22","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"23","ASV_23",-0.0149774188259091,-0.0232804366897631,0.106150342120689,"ASV_23","no_hit","Haptophyta","unknown","Phaeocystales","Phaeocystaceae","Phaeocystis","no_hit"
"24","ASV_24",0.0155343559198166,0.0423134835362247,0.0943704850635263,"ASV_24","no_hit","Imbricatea","unknown","Thaumatomonadida","Thaumatomastigidae","Protaspis","no_hit"
"25","ASV_25",-0.0409883216745194,-0.0252004198716486,0.0379597224143984,"ASV_25","Metazoa","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus","no_hit"
