"","14223c01_07c_eDNA_FD","14223c01_10c_eDNA_FD","14223c01_09c_eDNA_FD","14223c01_12c_eDNA_FD","14223c01_08c_eDNA_FD","25424c01_12c_eDNA_FD","25424c01_10c_eDNA_FD","25424c01_09c_eDNA_FD","25424c01_06c_eDNA_FD","25424c01_03c_eDNA_FD","25424c02_12c_eDNA_FD","25424c02_10c_eDNA_FD","25424c02_09c_eDNA_FD","25424c02_06c_eDNA_FD","25424c03_12c_eDNA_FD","25424c03_10c_eDNA_FD","25424c03_09c_eDNA_FD","25424c03_06c_eDNA_FD","25424c03_03c_eDNA_FD","22624c01_12c_eDNA_FD","22624c01_10c_eDNA_FD","22624c01_09c_eDNA_FD","22624c01_06c_eDNA_FD","22624c01_03c_eDNA_FD","22624c02_12c_eDNA_FD","22624c02_10c_eDNA_FD","22624c02_09c_eDNA_FD","22624c02_06c_eDNA_FD","22624c02_03c_eDNA_FD","22624c03_12c_eDNA_FD","22624c03_10c_eDNA_FD","22624c03_09c_eDNA_FD","22624c03_06c_eDNA_FD","20524c02_12c_eDNA_FD","20524c02_10c_eDNA_FD","20524c02_09c_eDNA_FD","20524c02_06c_eDNA_FD","20524c02_03c_eDNA_FD","20524c01_12c_eDNA_FD","20524c01_10c_eDNA_FD","20524c01_09c_eDNA_FD","20524c01_06c_eDNA_FD","20524c01_03c_eDNA_FD","20524c03_10c_eDNA_FD","20524c03_09c_eDNA_FD","20524c03_06c_eDNA_FD","17024c03_09c_eDNA_FD","17024c03_10c_eDNA_FD","17024c03_12c_eDNA_FD","17024c02_03c_eDNA_FD","17024c02_06c_eDNA_FD","17024c02_09c_eDNA_FD","17024c02_10c_eDNA_FD","17024c02_12c_eDNA_FD","17024c01_03c_eDNA_FD","17024c01_06c_eDNA_FD","17024c01_09c_eDNA_FD","17024c01_10c_eDNA_FD","17024c01_12c_eDNA_FD","CN24F150mMV2_SC42_FD","CN24F150mMV2_SC43_FD","CN24F150mMV2_SC44_FD","CN24F150mMV2_SC45_FD","CN24F150mMV2_SC46_FD","CN24F150mMV2_SC47_FD","CN24F150mMV2_SC48_FD","CN24F150mMV2_SC49_FD","CN24F150mMV2_SC50_FD","CN24F150mMV2_SC51_FD","CN24F150mMV2_SC52_FD","CN24F150mMV2_SC53_FD","CN24F150mMV2_SC54_FD","CN24F150mMV2_SC55_FD","CN24F150mMV2_SC56_FD","CN24F150mMV2_SC57_FD","CN24F150mMV2_SC58_FD","CN24F150mMV2_SC59_FD","subsampled_14223c01_10c_eDNA_FKsubsampled","subsampled_14223c01_09c_eDNA_FKsubsampled","subsampled_14223c01_12c_eDNA_FKsubsampled","subsampled_14223c01_08c_eDNA_FKsubsampled","subsampled_25424c01_12c_eDNA_FKsubsampled","subsampled_25424c01_10c_eDNA_FKsubsampled","subsampled_25424c01_09c_eDNA_FKsubsampled","subsampled_25424c01_06c_eDNA_FKsubsampled","subsampled_25424c01_03c_eDNA_FKsubsampled","subsampled_25424c02_12c_eDNA_FKsubsampled","subsampled_25424c02_10c_eDNA_FKsubsampled","subsampled_25424c02_09c_eDNA_FKsubsampled","subsampled_25424c02_06c_eDNA_FKsubsampled","subsampled_25424c03_12c_eDNA_FKsubsampled","subsampled_25424c03_10c_eDNA_FKsubsampled","subsampled_25424c03_09c_eDNA_FKsubsampled","subsampled_25424c03_06c_eDNA_FKsubsampled","subsampled_25424c03_03c_eDNA_FKsubsampled","subsampled_22624c01_12c_eDNA_FKsubsampled","subsampled_22624c01_10c_eDNA_FKsubsampled","subsampled_22624c01_09c_eDNA_FKsubsampled","subsampled_22624c01_06c_eDNA_FKsubsampled","subsampled_22624c01_03c_eDNA_FKsubsampled","subsampled_22624c02_12c_eDNA_FKsubsampled","subsampled_22624c02_10c_eDNA_FKsubsampled","subsampled_22624c02_09c_eDNA_FKsubsampled","subsampled_22624c02_06c_eDNA_FKsubsampled","subsampled_22624c03_10c_eDNA_FKsubsampled","subsampled_22624c03_09c_eDNA_FKsubsampled","subsampled_20524c02_12c_eDNA_FKsubsampled","subsampled_20524c02_10c_eDNA_FKsubsampled","subsampled_20524c02_09c_eDNA_FKsubsampled","subsampled_20524c02_06c_eDNA_FKsubsampled","subsampled_20524c01_12c_eDNA_FKsubsampled","subsampled_20524c01_10c_eDNA_FKsubsampled","subsampled_20524c01_09c_eDNA_FKsubsampled","subsampled_20524c03_10c_eDNA_FKsubsampled","subsampled_20524c03_09c_eDNA_FKsubsampled","subsampled_20524c03_06c_eDNA_FKsubsampled","subsampled_17024c03_09c_eDNA_FKsubsampled","subsampled_17024c03_10c_eDNA_FKsubsampled","subsampled_17024c03_12c_eDNA_FKsubsampled","subsampled_17024c02_06c_eDNA_FKsubsampled","subsampled_17024c02_09c_eDNA_FKsubsampled","subsampled_17024c02_10c_eDNA_FKsubsampled","subsampled_17024c02_12c_eDNA_FKsubsampled","subsampled_17024c01_09c_eDNA_FKsubsampled","subsampled_17024c01_10c_eDNA_FKsubsampled","subsampled_17024c01_12c_eDNA_FKsubsampled","subsampled_CN24F150mMV2_SC42_FKsubsampled","subsampled_CN24F150mMV2_SC43_FKsubsampled","subsampled_CN24F150mMV2_SC44_FKsubsampled","subsampled_CN24F150mMV2_SC45_FKsubsampled","subsampled_CN24F150mMV2_SC46_FKsubsampled","subsampled_CN24F150mMV2_SC47_FKsubsampled","subsampled_CN24F150mMV2_SC48_FKsubsampled","subsampled_CN24F150mMV2_SC49_FKsubsampled","subsampled_CN24F150mMV2_SC50_FKsubsampled","subsampled_CN24F150mMV2_SC51_FKsubsampled","subsampled_CN24F150mMV2_SC52_FKsubsampled","subsampled_CN24F150mMV2_SC53_FKsubsampled","subsampled_CN24F150mMV2_SC54_FKsubsampled","subsampled_CN24F150mMV2_SC55_FKsubsampled","subsampled_CN24F150mMV2_SC56_FKsubsampled","subsampled_CN24F150mMV2_SC57_FKsubsampled","subsampled_CN24F150mMV2_SC58_FKsubsampled","subsampled_CN24F150mMV2_SC59_FKsubsampled","14223c01_05c_eDNA_FD","14223c01_06c_eDNA_FD","14223c01_04c_eDNA_FD","14223c01_02c_eDNA_FD","14223c01_01c_eDNA_FD","14223c01_03c_eDNA_FD","25424c02_03c_eDNA_FD","22624c03_03c_eDNA_FD","20524c03_12c_eDNA_FD","20524c03_03c_eDNA_FD","17024c03_03c_eDNA_FD","17024c03_06c_eDNA_FD","subsampled_14223c01_05c_eDNA_FKsubsampled","subsampled_14223c01_07c_eDNA_FKsubsampled","subsampled_14223c01_06c_eDNA_FKsubsampled","subsampled_14223c01_04c_eDNA_FKsubsampled","subsampled_14223c01_02c_eDNA_FKsubsampled","subsampled_14223c01_01c_eDNA_FKsubsampled","subsampled_14223c01_03c_eDNA_FKsubsampled","subsampled_25424c02_03c_eDNA_FKsubsampled","subsampled_22624c02_03c_eDNA_FKsubsampled","subsampled_22624c03_12c_eDNA_FKsubsampled","subsampled_22624c03_06c_eDNA_FKsubsampled","subsampled_22624c03_03c_eDNA_FKsubsampled","subsampled_20524c02_03c_eDNA_FKsubsampled","subsampled_20524c01_06c_eDNA_FKsubsampled","subsampled_20524c01_03c_eDNA_FKsubsampled","subsampled_20524c03_12c_eDNA_FKsubsampled","subsampled_20524c03_03c_eDNA_FKsubsampled","subsampled_17024c03_03c_eDNA_FKsubsampled","subsampled_17024c03_06c_eDNA_FKsubsampled","subsampled_17024c02_03c_eDNA_FKsubsampled","subsampled_17024c01_03c_eDNA_FKsubsampled","subsampled_17024c01_06c_eDNA_FKsubsampled"
"ASV_1",11,16248,2954,7812,521,483,6958,25114,36021,23,752,5219,12318,10346,896,4083,18587,28,11144,201,1356,7390,43,62,351,1199,1201,19264,28,14,3886,2805,49,149,3387,12868,43148,12,82,2615,4895,51,53,1824,193,2495,1651,1389,475,39,11596,10448,9166,4193,11,23,15050,5377,926,13997,16631,12493,58,1308,11539,6509,7824,17024,8683,20660,54,9994,19,3707,21,8584,1618,16671,3052,7973,565,523,7342,26809,36863,14,784,5611,13688,11245,886,3965,19544,18,11908,227,1474,7870,31,64,335,1228,1156,19711,4035,2824,151,3532,13995,45885,53,2744,5274,1808,165,2765,1725,1450,479,12006,10428,9250,4535,15968,5749,935,15032,17848,13700,56,1408,12166,7228,8408,18591,9314,21977,23,10817,18,3806,24,9667,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2",4489,895,517,732,2505,21037,521,286,968,3972,4077,2473,161,466,1245,552,174,987,873,1504,549,185,847,314,3168,3901,3668,1390,813,1799,3038,3224,1049,1444,2086,1319,1606,1565,1190,357,261,660,840,1184,361,385,4499,9398,5266,1955,611,814,1916,11332,2428,817,10567,25916,6515,7013,6263,5815,7451,7835,3335,5456,4941,5767,6542,3454,6742,4527,5812,7310,5878,5291,4357,905,572,673,2489,22291,579,293,1019,4024,4202,2652,147,461,1172,506,167,1047,873,1484,500,171,866,307,3505,3858,3697,1370,3183,3128,1328,2226,1479,1664,1213,362,282,1202,411,446,4964,9605,5602,618,925,1926,11818,11376,27940,6237,6784,6680,5849,7903,7851,3640,5524,5420,5861,6928,3732,7177,5131,5796,7283,6188,5586,4588,1663,3468,683,1084,682,598,1411,1843,1004,1005,16499,568,1552,4680,3430,719,1112,706,612,1321,803,1883,1163,1994,1581,697,873,1053,1080,17232,626,2068,2563,847
"ASV_3",0,3023,21307,0,30632,0,3105,0,0,0,0,0,0,0,0,0,0,0,17526,0,0,0,0,11,0,0,0,22446,28189,0,0,1171,29727,0,0,0,0,0,0,0,0,0,48143,0,0,0,860,0,0,0,16703,2965,2897,169,0,0,0,1969,0,0,0,65,0,10760,19071,6988,0,0,0,0,24054,0,0,0,10850,15,0,2469,21660,0,27389,0,3127,0,0,12,0,0,0,0,0,0,0,0,16284,0,0,0,0,0,0,0,0,20460,0,1163,0,0,0,0,0,0,0,0,0,0,895,0,0,16328,3057,2589,159,0,2119,0,0,0,44,0,10210,19362,7112,0,0,0,0,24344,0,0,0,10970,12,0,248,0,0,0,0,0,0,0,0,0,0,50,262,0,0,0,0,0,0,0,25810,0,31865,0,0,0,43130,0,0,0,66,0,0,0
"ASV_4",0,6178,0,4135,0,1084,0,8608,929,0,5564,4558,1540,0,10715,12508,1001,177,27,789,0,1958,395,224,7080,7670,1488,0,0,2095,7161,8339,0,2248,0,500,1174,0,843,523,2119,0,0,3970,1987,0,11446,11325,12245,0,253,39325,26491,19149,0,0,4122,1366,21312,0,0,0,0,0,0,13,0,0,0,0,1307,0,0,0,0,0,0,6797,0,4262,0,1133,0,9478,992,0,5987,5067,1524,0,11307,12404,1055,191,38,745,0,2109,438,198,7454,7662,1414,0,7451,8792,2519,0,587,1303,925,502,2169,4114,1963,0,12075,11314,12134,255,40727,29763,20631,4668,1580,22738,11,0,0,0,0,0,0,0,0,0,0,1338,0,0,14,0,0,0,0,0,0,18,0,0,0,0,1479,0,0,83,0,0,0,0,0,0,0,0,0,2268,0,0,0,0,0,1764,0,0,124,0,0,0
"ASV_5",0,34,0,30,0,10419,1620,164,127,185,8783,28226,16856,87,10288,13239,7182,365,360,4818,5075,633,379,262,5151,10644,7491,89,30,12589,11032,10704,37,820,462,113,0,0,1023,1976,490,0,0,188,269,0,404,558,649,0,11,50,88,292,0,0,40,129,63,43,30,59,61,57,41,54,51,42,58,66,58,42,52,93,53,83,58,32,0,33,0,10801,1929,228,136,200,10362,30229,19311,84,11118,16359,7722,382,403,4929,5326,822,430,347,5639,11286,8570,93,11884,11599,790,489,105,0,1225,1970,453,186,336,0,416,583,669,0,37,115,338,32,161,81,50,73,68,66,80,43,63,54,60,75,59,60,57,42,91,56,72,71,0,0,0,0,0,0,42,45,384,0,0,11,0,0,0,0,0,0,0,29,27,13542,28,38,0,0,0,503,0,0,11,0,0,0
"ASV_6",0,39,0,20,0,696,171,37,21,21,361,758,347,16,233,256,145,84,18,16,546,2512,774,664,50,66,77,586,35,174,225,212,162,22488,22758,9232,298,279,21448,26631,10121,100,62,7679,14469,580,169,213,192,0,19,245,204,66,31,40,23,78,36,46,77,44,67,55,50,47,62,46,46,53,43,33,35,64,49,75,53,26,0,0,0,701,142,36,35,39,361,779,340,18,220,270,185,52,17,17,542,2557,873,666,40,85,89,603,236,227,22870,22437,9438,274,22395,26482,9727,7739,15394,612,164,205,225,21,272,217,94,42,63,32,60,69,67,83,68,46,51,75,55,59,68,70,46,37,85,55,72,73,0,0,0,0,0,0,0,138,11503,131,11,0,0,0,0,0,0,0,0,0,38,193,123,129,287,115,82,12139,158,0,12,0,27,44
"ASV_7",0,16193,0,29072,0,5214,0,0,1704,0,1263,0,496,0,4933,0,0,46,0,1087,0,0,249,0,5182,6338,0,0,0,7732,12458,2392,0,0,0,0,0,0,0,2072,0,867,0,0,7315,12771,9125,2156,0,0,0,0,14007,5168,21,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14306,0,30824,0,5339,0,0,1680,0,1241,0,526,0,5144,0,0,53,0,1002,0,0,216,0,5263,5878,0,0,12176,2293,0,0,0,0,0,2007,0,0,7495,13236,9543,2192,0,0,0,13197,5240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8188,0,0,0,901,0,0,0,0,0,0,0,0
"ASV_8",2319,586,1393,261,2531,467,387,219,1158,1324,386,655,211,1238,476,370,323,1574,3176,368,906,748,1907,565,194,497,506,1846,810,425,457,445,2396,597,778,1135,2703,2725,336,555,583,1792,904,204,726,1365,853,991,941,265,1249,537,456,579,2859,2537,885,978,640,4060,3996,4257,4383,4605,2569,3149,2888,3204,3719,2624,4079,3268,3918,3911,3093,3329,3580,529,1508,306,2675,490,436,258,1264,1421,342,742,184,1297,426,469,361,1838,3283,407,851,725,1968,660,272,560,465,2054,445,446,567,859,1351,2961,378,580,663,286,742,1565,901,1092,1034,1316,559,451,664,981,1259,549,4206,4478,4371,5065,4767,2882,3472,3409,3582,4257,2893,4395,3567,4164,4262,3585,3483,3771,945,1525,596,275,166,276,2206,3025,235,2285,938,1303,933,2651,1634,730,399,192,279,2222,821,435,2537,3382,2661,1954,978,214,2722,986,1368,295,3070,2911
"ASV_9",102,0,24,0,17,5109,388,127,154,250,453,1027,565,140,352,391,347,87,120,2305,2854,976,385,213,433,1156,2473,701,153,473,436,407,815,5394,5438,2259,277,415,4743,6117,2643,69,100,5055,5180,132,3419,5208,7406,125,1205,6428,9573,10339,619,784,1184,1933,1031,163,158,155,181,189,99,143,123,146,168,167,192,171,115,182,156,144,169,0,33,0,18,6216,471,144,189,338,518,1112,677,137,405,443,337,111,157,2636,2993,1174,432,208,527,1386,2871,754,563,480,6197,6169,2758,307,5119,6262,3029,5578,5858,159,4215,5697,8343,1297,8251,10790,12369,1223,2441,1230,172,182,198,229,250,119,145,137,183,196,191,226,160,168,237,212,192,175,45,73,77,35,109,34,53,381,1666,96,114,263,56,90,94,66,38,136,27,73,156,517,904,398,410,97,98,1811,107,115,243,152,726,901
"ASV_10",947,485,500,989,848,6961,268,191,882,1211,1380,493,228,476,1781,316,176,598,991,943,931,409,680,284,2900,632,831,782,622,1889,1360,1385,3533,1058,732,493,1074,1486,2805,401,290,718,316,1077,1234,337,1377,3747,3384,129,1603,492,1118,2618,3447,4843,381,1777,4531,1655,1931,1684,2393,2067,1244,1435,1515,1638,1600,1209,1988,1629,1836,2073,1333,1838,1826,472,477,982,856,7221,259,241,988,1319,1457,601,198,497,1938,356,208,525,824,958,914,380,690,260,2973,627,905,804,1417,1500,1007,796,470,1074,3108,471,252,1218,1291,368,1503,3826,3491,1642,529,1040,2719,385,2110,4389,1727,1925,1758,2517,2161,1276,1616,1570,1744,1911,1379,2220,1693,2040,2231,1529,1877,1974,670,777,584,1029,625,584,652,1451,1967,564,876,575,645,1073,816,578,1242,679,600,681,610,1899,3507,1510,1231,784,332,2106,578,810,603,159,3731,5375
