"","14223c01_07c_eDNA_FD","14223c01_10c_eDNA_FD","14223c01_09c_eDNA_FD","14223c01_12c_eDNA_FD","14223c01_08c_eDNA_FD","25424c01_12c_eDNA_FD","25424c01_10c_eDNA_FD","25424c01_09c_eDNA_FD","25424c01_06c_eDNA_FD","25424c01_03c_eDNA_FD","25424c02_12c_eDNA_FD","25424c02_10c_eDNA_FD","25424c02_09c_eDNA_FD","25424c02_06c_eDNA_FD","25424c03_12c_eDNA_FD","25424c03_10c_eDNA_FD","25424c03_09c_eDNA_FD","25424c03_06c_eDNA_FD","25424c03_03c_eDNA_FD","22624c01_12c_eDNA_FD","22624c01_10c_eDNA_FD","22624c01_09c_eDNA_FD","22624c01_06c_eDNA_FD","22624c01_03c_eDNA_FD","22624c02_12c_eDNA_FD","22624c02_10c_eDNA_FD","22624c02_09c_eDNA_FD","22624c02_06c_eDNA_FD","22624c02_03c_eDNA_FD","22624c03_12c_eDNA_FD","22624c03_10c_eDNA_FD","22624c03_09c_eDNA_FD","22624c03_06c_eDNA_FD","20524c02_12c_eDNA_FD","20524c02_10c_eDNA_FD","20524c02_09c_eDNA_FD","20524c02_06c_eDNA_FD","20524c02_03c_eDNA_FD","20524c01_12c_eDNA_FD","20524c01_10c_eDNA_FD","20524c01_09c_eDNA_FD","20524c01_06c_eDNA_FD","20524c01_03c_eDNA_FD","20524c03_10c_eDNA_FD","20524c03_09c_eDNA_FD","20524c03_06c_eDNA_FD","17024c03_09c_eDNA_FD","17024c03_10c_eDNA_FD","17024c03_12c_eDNA_FD","17024c02_03c_eDNA_FD","17024c02_06c_eDNA_FD","17024c02_09c_eDNA_FD","17024c02_10c_eDNA_FD","17024c02_12c_eDNA_FD","17024c01_03c_eDNA_FD","17024c01_06c_eDNA_FD","17024c01_09c_eDNA_FD","17024c01_10c_eDNA_FD","17024c01_12c_eDNA_FD","CN24F150mMV2_SC42_FD","CN24F150mMV2_SC43_FD","CN24F150mMV2_SC44_FD","CN24F150mMV2_SC45_FD","CN24F150mMV2_SC46_FD","CN24F150mMV2_SC47_FD","CN24F150mMV2_SC48_FD","CN24F150mMV2_SC49_FD","CN24F150mMV2_SC50_FD","CN24F150mMV2_SC51_FD","CN24F150mMV2_SC52_FD","CN24F150mMV2_SC53_FD","CN24F150mMV2_SC54_FD","CN24F150mMV2_SC55_FD","CN24F150mMV2_SC56_FD","CN24F150mMV2_SC57_FD","CN24F150mMV2_SC58_FD","CN24F150mMV2_SC59_FD","subsampled_14223c01_10c_eDNA_FKsubsampled","subsampled_14223c01_09c_eDNA_FKsubsampled","subsampled_14223c01_12c_eDNA_FKsubsampled","subsampled_14223c01_08c_eDNA_FKsubsampled","subsampled_25424c01_12c_eDNA_FKsubsampled","subsampled_25424c01_10c_eDNA_FKsubsampled","subsampled_25424c01_09c_eDNA_FKsubsampled","subsampled_25424c01_06c_eDNA_FKsubsampled","subsampled_25424c01_03c_eDNA_FKsubsampled","subsampled_25424c02_12c_eDNA_FKsubsampled","subsampled_25424c02_10c_eDNA_FKsubsampled","subsampled_25424c02_09c_eDNA_FKsubsampled","subsampled_25424c02_06c_eDNA_FKsubsampled","subsampled_25424c03_12c_eDNA_FKsubsampled","subsampled_25424c03_10c_eDNA_FKsubsampled","subsampled_25424c03_09c_eDNA_FKsubsampled","subsampled_25424c03_06c_eDNA_FKsubsampled","subsampled_25424c03_03c_eDNA_FKsubsampled","subsampled_22624c01_12c_eDNA_FKsubsampled","subsampled_22624c01_10c_eDNA_FKsubsampled","subsampled_22624c01_09c_eDNA_FKsubsampled","subsampled_22624c01_06c_eDNA_FKsubsampled","subsampled_22624c01_03c_eDNA_FKsubsampled","subsampled_22624c02_12c_eDNA_FKsubsampled","subsampled_22624c02_10c_eDNA_FKsubsampled","subsampled_22624c02_09c_eDNA_FKsubsampled","subsampled_22624c02_06c_eDNA_FKsubsampled","subsampled_22624c03_10c_eDNA_FKsubsampled","subsampled_22624c03_09c_eDNA_FKsubsampled","subsampled_20524c02_12c_eDNA_FKsubsampled","subsampled_20524c02_10c_eDNA_FKsubsampled","subsampled_20524c02_09c_eDNA_FKsubsampled","subsampled_20524c02_06c_eDNA_FKsubsampled","subsampled_20524c01_12c_eDNA_FKsubsampled","subsampled_20524c01_10c_eDNA_FKsubsampled","subsampled_20524c01_09c_eDNA_FKsubsampled","subsampled_20524c03_10c_eDNA_FKsubsampled","subsampled_20524c03_09c_eDNA_FKsubsampled","subsampled_20524c03_06c_eDNA_FKsubsampled","subsampled_17024c03_09c_eDNA_FKsubsampled","subsampled_17024c03_10c_eDNA_FKsubsampled","subsampled_17024c03_12c_eDNA_FKsubsampled","subsampled_17024c02_06c_eDNA_FKsubsampled","subsampled_17024c02_09c_eDNA_FKsubsampled","subsampled_17024c02_10c_eDNA_FKsubsampled","subsampled_17024c02_12c_eDNA_FKsubsampled","subsampled_17024c01_09c_eDNA_FKsubsampled","subsampled_17024c01_10c_eDNA_FKsubsampled","subsampled_17024c01_12c_eDNA_FKsubsampled","subsampled_CN24F150mMV2_SC42_FKsubsampled","subsampled_CN24F150mMV2_SC43_FKsubsampled","subsampled_CN24F150mMV2_SC44_FKsubsampled","subsampled_CN24F150mMV2_SC45_FKsubsampled","subsampled_CN24F150mMV2_SC46_FKsubsampled","subsampled_CN24F150mMV2_SC47_FKsubsampled","subsampled_CN24F150mMV2_SC48_FKsubsampled","subsampled_CN24F150mMV2_SC49_FKsubsampled","subsampled_CN24F150mMV2_SC50_FKsubsampled","subsampled_CN24F150mMV2_SC51_FKsubsampled","subsampled_CN24F150mMV2_SC52_FKsubsampled","subsampled_CN24F150mMV2_SC53_FKsubsampled","subsampled_CN24F150mMV2_SC54_FKsubsampled","subsampled_CN24F150mMV2_SC55_FKsubsampled","subsampled_CN24F150mMV2_SC56_FKsubsampled","subsampled_CN24F150mMV2_SC57_FKsubsampled","subsampled_CN24F150mMV2_SC58_FKsubsampled","subsampled_CN24F150mMV2_SC59_FKsubsampled","14223c01_05c_eDNA_FD","14223c01_06c_eDNA_FD","14223c01_04c_eDNA_FD","14223c01_02c_eDNA_FD","14223c01_01c_eDNA_FD","14223c01_03c_eDNA_FD","25424c02_03c_eDNA_FD","22624c03_03c_eDNA_FD","20524c03_12c_eDNA_FD","20524c03_03c_eDNA_FD","17024c03_03c_eDNA_FD","17024c03_06c_eDNA_FD","subsampled_14223c01_05c_eDNA_FKsubsampled","subsampled_14223c01_07c_eDNA_FKsubsampled","subsampled_14223c01_06c_eDNA_FKsubsampled","subsampled_14223c01_04c_eDNA_FKsubsampled","subsampled_14223c01_02c_eDNA_FKsubsampled","subsampled_14223c01_01c_eDNA_FKsubsampled","subsampled_14223c01_03c_eDNA_FKsubsampled","subsampled_25424c02_03c_eDNA_FKsubsampled","subsampled_22624c02_03c_eDNA_FKsubsampled","subsampled_22624c03_12c_eDNA_FKsubsampled","subsampled_22624c03_06c_eDNA_FKsubsampled","subsampled_22624c03_03c_eDNA_FKsubsampled","subsampled_20524c02_03c_eDNA_FKsubsampled","subsampled_20524c01_06c_eDNA_FKsubsampled","subsampled_20524c01_03c_eDNA_FKsubsampled","subsampled_20524c03_12c_eDNA_FKsubsampled","subsampled_20524c03_03c_eDNA_FKsubsampled","subsampled_17024c03_03c_eDNA_FKsubsampled","subsampled_17024c03_06c_eDNA_FKsubsampled","subsampled_17024c02_03c_eDNA_FKsubsampled","subsampled_17024c01_03c_eDNA_FKsubsampled","subsampled_17024c01_06c_eDNA_FKsubsampled"
"ASV_1",9,9296,1859,4915,347,201,5343,14821,18684,17,414,2460,6833,7127,449,2612,12128,26,6037,96,750,4915,24,49,198,648,770,8793,19,6,1745,1424,17,78,1680,7215,19091,10,37,1259,3121,34,30,1151,119,1948,913,788,253,35,6441,4781,3882,1671,3,16,6753,2411,466,7988,9498,7508,33,679,6717,4622,5802,10281,5210,12580,24,6006,16,2359,12,5945,1132,9864,2018,4831,414,226,5166,14613,18814,8,441,2400,7149,7404,452,2382,12132,12,6536,75,773,5030,15,46,165,660,697,9138,1768,1318,74,1568,7342,19504,27,1297,3146,1094,98,2006,953,769,234,6436,4514,3746,1647,6745,2356,449,8178,9429,7785,26,709,6815,4833,5772,10294,5378,12366,14,5909,15,2339,14,6208,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2",3204,491,325,454,1658,9413,399,175,531,2635,2389,1122,91,352,655,352,119,866,479,597,294,125,508,224,1632,2136,2293,623,580,1045,1394,1629,478,722,983,721,723,1273,641,179,145,471,419,732,198,304,2488,5245,2759,1728,356,388,819,4522,1331,460,4712,11692,3275,4098,3577,3478,4528,4215,1973,3886,3674,3413,3894,2084,3066,2599,4871,4711,3907,3643,2974,506,381,422,1778,9394,403,157,543,2599,2214,1150,77,322,578,336,102,872,474,598,267,117,486,235,1764,1985,2237,609,1387,1501,665,1049,790,655,557,169,177,720,222,335,2656,5092,2622,328,410,784,4364,4684,11537,3014,3667,3549,3275,4339,3977,2038,3706,3777,3313,3946,2044,3097,2810,4495,4421,3860,3550,2999,1442,3214,683,831,592,562,1379,1378,512,728,10421,498,1250,3068,2995,646,721,548,551,1225,569,1026,466,1399,1353,458,443,478,716,10083,503,1752,1381,450
"ASV_3",0,1702,13871,0,20505,0,2353,0,0,0,0,0,0,0,0,0,0,0,9484,0,0,0,0,9,0,0,0,10203,19011,0,0,598,13310,0,0,0,0,0,0,0,0,0,23111,0,0,0,491,0,0,0,9195,1331,1243,77,0,0,0,917,0,0,0,42,0,5700,11097,4992,0,0,0,0,10888,0,0,0,7126,10,0,1417,14371,0,19494,0,2222,0,0,10,0,0,0,0,0,0,0,0,9009,0,0,0,0,0,0,0,0,9520,0,556,0,0,0,0,0,0,0,0,0,0,453,0,0,8847,1349,1044,64,0,854,0,0,0,26,0,5120,10804,4729,0,0,0,0,10450,0,0,0,6998,9,0,212,0,0,0,0,0,0,0,0,0,0,42,208,0,0,0,0,0,0,0,18004,0,12835,0,0,0,22087,0,0,0,47,0,0,0
"ASV_4",0,3465,0,2676,0,509,0,5067,481,0,3165,2109,850,0,5714,8132,648,163,14,319,0,1307,232,167,3758,4212,894,0,0,1230,3289,4240,0,1191,0,274,536,0,414,266,1314,0,0,2468,1147,0,6331,6345,6476,0,133,18281,10969,7702,0,0,1859,602,10820,0,0,0,0,0,0,11,0,0,0,0,549,0,0,0,0,0,0,3996,0,2582,0,481,0,5196,488,0,3192,2192,780,0,5760,7621,669,156,22,300,0,1344,245,148,3592,4151,850,0,3362,4125,1273,0,325,525,449,238,1285,2496,1068,0,6407,6107,5981,138,17982,11847,7696,1909,655,11058,5,0,0,0,0,0,0,0,0,0,0,595,0,0,10,0,0,0,0,0,0,15,0,0,0,0,729,0,0,69,0,0,0,0,0,0,0,0,0,1231,0,0,0,0,0,805,0,0,99,0,0,0
"ASV_5",0,21,0,20,0,4726,1269,92,63,119,5025,13308,9377,65,5492,8568,4648,325,178,1948,2879,393,222,205,2657,5766,4711,40,14,7495,5015,5406,15,431,221,63,0,0,511,949,315,0,0,116,154,0,226,318,338,0,5,28,32,120,0,0,16,69,29,30,18,37,30,34,24,42,35,26,32,32,28,20,45,62,37,71,37,21,0,20,0,4548,1387,121,75,140,5502,13314,9991,60,5696,9948,4864,299,214,1925,2857,515,242,257,2790,6027,5215,49,5259,5622,398,228,56,0,580,944,256,110,188,0,227,298,349,0,17,36,149,13,60,41,28,37,38,30,45,21,41,36,35,42,40,35,23,34,61,35,44,45,0,0,0,0,0,0,41,35,189,0,0,10,0,0,0,0,0,0,0,25,18,7417,12,29,0,0,0,234,0,0,9,0,0,0
"ASV_6",0,20,0,13,0,312,129,21,13,13,208,366,192,11,121,164,88,76,11,8,310,1707,450,513,24,40,48,250,21,95,98,97,68,11872,11051,5178,128,222,10643,12939,6350,69,35,4782,8312,454,100,114,90,0,12,119,81,31,19,24,7,42,18,22,46,25,38,27,27,33,42,31,26,32,18,19,31,41,28,52,37,18,0,0,0,275,98,17,17,27,170,339,189,12,123,166,111,42,6,7,294,1672,486,490,22,41,47,283,100,116,11337,10407,4974,117,10583,12326,5719,4671,8357,447,78,112,111,9,125,91,32,19,23,13,38,46,38,44,32,24,27,50,33,28,36,28,17,32,53,38,48,46,0,0,0,0,0,0,0,110,5762,89,8,0,0,0,0,0,0,0,0,0,23,95,49,85,255,75,42,5560,109,0,9,0,14,22
"ASV_7",0,9342,0,18358,0,2360,0,0,881,0,728,0,270,0,2623,0,0,39,0,455,0,0,140,0,2687,3520,0,0,0,4550,5705,1206,0,0,0,0,0,0,0,1031,0,583,0,0,4235,10034,5146,1160,0,0,0,0,5890,2121,17,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8448,0,18721,0,2178,0,0,870,0,653,0,278,0,2583,0,0,42,0,400,0,0,135,0,2586,3057,0,0,5299,1112,0,0,0,0,0,908,0,0,4088,9589,5051,1213,0,0,0,5214,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4407,0,0,0,590,0,0,0,0,0,0,0,0
"ASV_8",1643,311,914,173,1695,225,282,133,622,870,213,318,104,867,246,234,211,1385,1742,148,511,477,1142,424,104,281,319,826,547,250,208,246,1075,310,371,661,1197,2217,175,273,366,1254,441,124,439,1062,496,542,499,243,690,275,173,224,1566,1417,401,448,315,2400,2281,2589,2679,2476,1495,2248,2134,1893,2279,1619,1811,1941,3286,2551,2007,2338,2395,309,1002,178,1942,219,306,153,630,923,167,306,101,880,231,291,227,1505,1823,164,457,463,1134,481,120,283,285,918,193,218,273,407,739,1264,173,262,405,173,398,1142,476,609,517,701,260,174,267,404,509,264,2299,2375,2532,2836,2396,1601,2306,2341,1969,2426,1600,1927,1904,3242,2590,2287,2227,2444,816,1388,596,212,136,258,2150,2206,139,1629,575,1128,745,1784,1442,668,256,153,250,2068,553,232,1032,2338,2313,1222,459,91,1775,586,1121,251,1623,1491
"ASV_9",70,0,16,0,14,2342,269,73,82,159,254,447,322,93,177,261,217,72,68,972,1555,665,219,173,222,636,1562,304,101,287,200,201,360,2758,2641,1307,130,320,2299,2979,1635,43,44,3130,3035,105,1898,2930,3800,114,647,2999,3937,4066,349,439,478,866,505,106,88,104,119,109,55,97,83,97,100,101,91,100,97,123,99,100,114,0,22,0,11,2619,349,84,93,221,262,493,363,90,230,266,249,97,90,1053,1641,753,243,156,245,706,1753,338,238,231,3058,2854,1452,125,2332,2884,1775,3330,3142,116,2192,2989,4082,700,3561,4337,4633,558,1035,615,93,94,114,126,126,62,102,101,103,114,101,99,90,126,143,119,124,122,37,63,77,26,91,32,52,287,806,65,79,231,45,55,81,58,26,109,26,70,104,278,390,287,359,57,48,825,68,81,199,125,382,508
"ASV_10",675,273,348,640,575,3080,217,127,505,809,792,220,127,324,958,187,109,512,560,377,520,272,407,204,1504,363,524,355,426,1093,606,680,1585,563,372,275,510,1224,1403,194,182,512,153,667,674,259,753,2107,1759,117,872,230,473,1032,1948,2716,185,821,2312,956,1120,1037,1462,1084,725,1024,1112,996,985,735,931,935,1535,1332,878,1266,1252,291,299,589,619,3113,188,134,480,872,788,257,100,328,970,220,136,421,449,366,507,247,392,191,1470,351,562,397,644,726,502,360,241,470,1489,225,137,735,667,266,808,2018,1718,906,230,420,1018,174,882,2129,985,1037,1030,1403,1122,719,1083,1082,954,1096,784,966,945,1590,1382,940,1225,1254,575,735,584,798,526,554,640,1083,993,411,544,503,534,705,717,536,801,513,537,636,421,1057,1403,1034,1056,520,187,918,382,469,484,134,1958,2803
