"","14223c01_05c_eDNA_FD","14223c01_07c_eDNA_FD","14223c01_06c_eDNA_FD","14223c01_10c_eDNA_FD","14223c01_04c_eDNA_FD","14223c01_09c_eDNA_FD","14223c01_02c_eDNA_FD","14223c01_01c_eDNA_FD","14223c01_03c_eDNA_FD","14223c01_12c_eDNA_FD","14223c01_08c_eDNA_FD","25424c01_12c_eDNA_FD","25424c01_10c_eDNA_FD","25424c01_09c_eDNA_FD","25424c01_06c_eDNA_FD","25424c01_03c_eDNA_FD","25424c02_12c_eDNA_FD","25424c02_10c_eDNA_FD","25424c02_09c_eDNA_FD","25424c02_06c_eDNA_FD","25424c02_03c_eDNA_FD","25424c03_12c_eDNA_FD","25424c03_10c_eDNA_FD","25424c03_09c_eDNA_FD","25424c03_06c_eDNA_FD","25424c03_03c_eDNA_FD","22624c01_12c_eDNA_FD","22624c01_10c_eDNA_FD","22624c01_09c_eDNA_FD","22624c01_06c_eDNA_FD","22624c01_03c_eDNA_FD","22624c02_12c_eDNA_FD","22624c02_10c_eDNA_FD","22624c02_09c_eDNA_FD","22624c02_06c_eDNA_FD","22624c02_03c_eDNA_FD","22624c03_12c_eDNA_FD","22624c03_10c_eDNA_FD","22624c03_09c_eDNA_FD","22624c03_06c_eDNA_FD","22624c03_03c_eDNA_FD","20524c02_12c_eDNA_FD","20524c02_10c_eDNA_FD","20524c02_09c_eDNA_FD","20524c02_06c_eDNA_FD","20524c02_03c_eDNA_FD","20524c01_12c_eDNA_FD","20524c01_10c_eDNA_FD","20524c01_09c_eDNA_FD","20524c01_06c_eDNA_FD","20524c01_03c_eDNA_FD","20524c03_12c_eDNA_FD","20524c03_10c_eDNA_FD","20524c03_09c_eDNA_FD","20524c03_06c_eDNA_FD","20524c03_03c_eDNA_FD","17024c03_03c_eDNA_FD","17024c03_06c_eDNA_FD","17024c03_09c_eDNA_FD","17024c03_10c_eDNA_FD","17024c03_12c_eDNA_FD","17024c02_03c_eDNA_FD","17024c02_06c_eDNA_FD","17024c02_09c_eDNA_FD","17024c02_10c_eDNA_FD","17024c02_12c_eDNA_FD","17024c01_03c_eDNA_FD","17024c01_06c_eDNA_FD","17024c01_09c_eDNA_FD","17024c01_10c_eDNA_FD","17024c01_12c_eDNA_FD","CN24F150mMV2_SC42_FD","CN24F150mMV2_SC43_FD","CN24F150mMV2_SC44_FD","CN24F150mMV2_SC45_FD","CN24F150mMV2_SC46_FD","CN24F150mMV2_SC47_FD","CN24F150mMV2_SC48_FD","CN24F150mMV2_SC49_FD","CN24F150mMV2_SC50_FD","CN24F150mMV2_SC51_FD","CN24F150mMV2_SC52_FD","CN24F150mMV2_SC53_FD","CN24F150mMV2_SC54_FD","CN24F150mMV2_SC55_FD","CN24F150mMV2_SC56_FD","CN24F150mMV2_SC57_FD","CN24F150mMV2_SC58_FD","CN24F150mMV2_SC59_FD","subsampled_14223c01_05c_eDNA_FKsubsampled","subsampled_14223c01_07c_eDNA_FKsubsampled","subsampled_14223c01_06c_eDNA_FKsubsampled","subsampled_14223c01_10c_eDNA_FKsubsampled","subsampled_14223c01_04c_eDNA_FKsubsampled","subsampled_14223c01_09c_eDNA_FKsubsampled","subsampled_14223c01_02c_eDNA_FKsubsampled","subsampled_14223c01_01c_eDNA_FKsubsampled","subsampled_14223c01_03c_eDNA_FKsubsampled","subsampled_14223c01_12c_eDNA_FKsubsampled","subsampled_14223c01_08c_eDNA_FKsubsampled","subsampled_25424c01_12c_eDNA_FKsubsampled","subsampled_25424c01_10c_eDNA_FKsubsampled","subsampled_25424c01_09c_eDNA_FKsubsampled","subsampled_25424c01_06c_eDNA_FKsubsampled","subsampled_25424c01_03c_eDNA_FKsubsampled","subsampled_25424c02_12c_eDNA_FKsubsampled","subsampled_25424c02_10c_eDNA_FKsubsampled","subsampled_25424c02_09c_eDNA_FKsubsampled","subsampled_25424c02_06c_eDNA_FKsubsampled","subsampled_25424c02_03c_eDNA_FKsubsampled","subsampled_25424c03_12c_eDNA_FKsubsampled","subsampled_25424c03_10c_eDNA_FKsubsampled","subsampled_25424c03_09c_eDNA_FKsubsampled","subsampled_25424c03_06c_eDNA_FKsubsampled","subsampled_25424c03_03c_eDNA_FKsubsampled","subsampled_22624c01_12c_eDNA_FKsubsampled","subsampled_22624c01_10c_eDNA_FKsubsampled","subsampled_22624c01_09c_eDNA_FKsubsampled","subsampled_22624c01_06c_eDNA_FKsubsampled","subsampled_22624c01_03c_eDNA_FKsubsampled","subsampled_22624c02_12c_eDNA_FKsubsampled","subsampled_22624c02_10c_eDNA_FKsubsampled","subsampled_22624c02_09c_eDNA_FKsubsampled","subsampled_22624c02_06c_eDNA_FKsubsampled","subsampled_22624c02_03c_eDNA_FKsubsampled","subsampled_22624c03_12c_eDNA_FKsubsampled","subsampled_22624c03_10c_eDNA_FKsubsampled","subsampled_22624c03_09c_eDNA_FKsubsampled","subsampled_22624c03_06c_eDNA_FKsubsampled","subsampled_22624c03_03c_eDNA_FKsubsampled","subsampled_20524c02_12c_eDNA_FKsubsampled","subsampled_20524c02_10c_eDNA_FKsubsampled","subsampled_20524c02_09c_eDNA_FKsubsampled","subsampled_20524c02_06c_eDNA_FKsubsampled","subsampled_20524c02_03c_eDNA_FKsubsampled","subsampled_20524c01_12c_eDNA_FKsubsampled","subsampled_20524c01_10c_eDNA_FKsubsampled","subsampled_20524c01_09c_eDNA_FKsubsampled","subsampled_20524c01_06c_eDNA_FKsubsampled","subsampled_20524c01_03c_eDNA_FKsubsampled","subsampled_20524c03_12c_eDNA_FKsubsampled","subsampled_20524c03_10c_eDNA_FKsubsampled","subsampled_20524c03_09c_eDNA_FKsubsampled","subsampled_20524c03_06c_eDNA_FKsubsampled","subsampled_20524c03_03c_eDNA_FKsubsampled","subsampled_17024c03_03c_eDNA_FKsubsampled","subsampled_17024c03_06c_eDNA_FKsubsampled","subsampled_17024c03_09c_eDNA_FKsubsampled","subsampled_17024c03_10c_eDNA_FKsubsampled","subsampled_17024c03_12c_eDNA_FKsubsampled","subsampled_17024c02_03c_eDNA_FKsubsampled","subsampled_17024c02_06c_eDNA_FKsubsampled","subsampled_17024c02_09c_eDNA_FKsubsampled","subsampled_17024c02_10c_eDNA_FKsubsampled","subsampled_17024c02_12c_eDNA_FKsubsampled","subsampled_17024c01_03c_eDNA_FKsubsampled","subsampled_17024c01_06c_eDNA_FKsubsampled","subsampled_17024c01_09c_eDNA_FKsubsampled","subsampled_17024c01_10c_eDNA_FKsubsampled","subsampled_17024c01_12c_eDNA_FKsubsampled","subsampled_CN24F150mMV2_SC42_FKsubsampled","subsampled_CN24F150mMV2_SC43_FKsubsampled","subsampled_CN24F150mMV2_SC44_FKsubsampled","subsampled_CN24F150mMV2_SC45_FKsubsampled","subsampled_CN24F150mMV2_SC46_FKsubsampled","subsampled_CN24F150mMV2_SC47_FKsubsampled","subsampled_CN24F150mMV2_SC48_FKsubsampled","subsampled_CN24F150mMV2_SC49_FKsubsampled","subsampled_CN24F150mMV2_SC50_FKsubsampled","subsampled_CN24F150mMV2_SC51_FKsubsampled","subsampled_CN24F150mMV2_SC52_FKsubsampled","subsampled_CN24F150mMV2_SC53_FKsubsampled","subsampled_CN24F150mMV2_SC54_FKsubsampled","subsampled_CN24F150mMV2_SC55_FKsubsampled","subsampled_CN24F150mMV2_SC56_FKsubsampled","subsampled_CN24F150mMV2_SC57_FKsubsampled","subsampled_CN24F150mMV2_SC58_FKsubsampled","subsampled_CN24F150mMV2_SC59_FKsubsampled"
"ASV_1",3,10,9,10103,2,1953,6,2,4,5422,365,238,5686,15836,19864,13,474,2662,7313,7513,8,533,2795,12789,25,6346,88,820,5116,28,42,200,698,809,9368,20,9,1889,1537,29,5,90,1803,7719,20407,10,41,1402,3342,34,21,5,1210,116,1996,5,7,7,1043,845,267,34,6741,5164,4137,1801,4,18,7229,2620,518,8471,9949,7901,39,692,7049,4808,5938,10731,5509,13026,24,6131,17,2460,14,6134,1113,0,0,0,10497,0,2027,1,2,2,5279,431,250,5525,15739,19808,12,463,2651,7668,7747,4,485,2549,12742,16,6997,91,832,5254,16,49,182,704,742,9669,0,0,1935,1532,2,1,75,1750,7875,20694,4,28,1400,3236,0,2,0,1178,96,2054,0,0,2,970,860,265,2,6742,4869,4004,1874,0,0,7328,2593,509,8596,9903,8138,29,750,7113,4966,6021,10800,5559,12852,8,6186,17,2442,16,6383,1226
"ASV_2",1468,3192,3191,552,683,347,856,592,577,497,1785,10326,421,173,536,2715,2489,1225,105,326,1380,732,381,122,879,471,673,315,128,508,233,1782,2286,2490,675,569,1130,1494,1767,497,1397,799,1071,783,767,1286,651,176,175,500,402,547,761,213,309,735,10697,492,2713,5741,3001,1739,352,424,873,4926,1433,485,5125,12424,3559,4194,3779,3711,4691,4343,2077,4022,3744,3659,4057,2194,3260,2753,5039,4879,3999,3763,3044,1249,3112,3003,585,645,395,730,566,567,448,1825,10275,432,170,550,2788,2480,1266,74,320,1212,622,320,103,871,503,657,282,114,491,223,1844,2210,2397,668,590,1142,1568,1611,524,1392,732,1064,874,757,1361,634,187,181,462,503,544,795,262,334,717,10454,510,2809,5470,3052,1784,349,452,832,4773,1372,424,5251,12338,3305,3934,3721,3457,4578,4157,2099,3801,3856,3382,4097,2145,3201,2943,4611,4563,4010,3691,2989
"ASV_3",217,2,1,1856,0,14423,0,0,0,0,21292,0,2496,0,1,5,0,0,0,1,1,0,6,3,1,10110,0,0,0,1,8,0,0,0,10804,19847,1,0,626,14105,0,1,0,0,1,7,0,0,2,4,24418,0,0,3,0,0,1,44,540,0,0,3,9614,1470,1282,68,0,1,2,922,0,4,3,45,6,5949,11673,5200,2,4,1,1,11426,4,5,2,7464,9,6,226,1,1,1504,0,14766,1,0,0,1,19792,0,2365,0,0,8,1,1,0,2,0,0,0,0,1,9318,0,1,1,0,3,1,0,0,9939,18540,0,0,605,13891,0,0,0,0,2,4,0,0,1,1,23178,0,0,2,1,6,2,56,505,0,1,1,9207,1402,1144,68,1,0,2,981,0,3,3,21,4,5258,11344,4914,5,1,4,1,11179,0,6,2,7237,8,6
"ASV_4",0,0,0,3804,0,0,14,0,0,2790,0,558,1,5460,521,1,3474,2302,891,0,0,6196,8577,688,159,18,353,0,1365,241,181,4053,4518,1000,0,0,1323,3504,4575,0,0,1265,0,286,557,0,456,265,1420,0,0,830,2692,1202,0,0,0,66,6805,6845,6971,3,136,19648,11983,8316,1,0,2014,684,11806,6,1,0,7,0,1,9,3,0,5,4,608,2,5,3,4,4,3,0,0,1,4277,0,0,4,0,0,2824,0,554,0,5528,516,3,3450,2451,861,0,0,6169,7906,734,152,24,313,0,1411,265,145,3932,4353,931,0,0,1309,3577,4600,1,1,1342,2,316,572,2,478,258,1378,1,0,874,2669,1103,0,0,0,111,6903,6537,6435,0,154,19412,12895,8377,4,2,2095,712,12090,4,6,4,4,3,0,3,1,4,2,1,641,5,5,10,4,6,5
"ASV_5",0,0,0,21,0,3,6,0,1,20,0,5240,1295,97,69,124,5416,14299,10038,66,40,5955,8980,4946,328,210,2190,2977,433,226,207,2883,6345,5098,42,19,7899,5520,5844,16,29,473,251,69,1,1,567,1037,324,0,0,207,130,164,0,2,0,6,222,348,359,0,3,27,43,115,0,0,26,60,36,21,18,39,40,30,34,41,39,25,37,40,26,24,47,73,38,59,36,0,0,0,23,0,2,8,0,0,18,0,4945,1478,126,77,135,5995,14463,10744,62,27,6156,10580,5087,330,233,2137,3023,528,249,249,2948,6516,5545,44,17,7966,5528,5954,11,27,406,259,61,0,1,614,975,291,1,1,245,117,209,0,1,1,10,244,308,330,1,1,17,56,131,1,1,15,81,44,27,39,36,39,39,27,43,40,32,40,40,28,37,35,60,39,45,45
"ASV_6",0,0,0,27,0,5,0,0,0,13,0,343,136,23,8,16,214,395,208,13,3,127,175,101,74,12,10,322,1716,467,507,28,35,54,274,28,103,114,128,73,109,12884,11876,5480,158,212,11636,13985,6741,81,34,6279,5211,8848,455,99,9,8,100,128,112,2,11,116,89,26,17,21,11,38,21,31,47,24,33,28,28,38,41,28,22,35,18,25,29,49,32,47,38,0,0,0,15,0,3,0,0,0,7,0,307,101,20,21,27,217,359,194,13,6,121,167,118,40,13,6,320,1700,517,513,23,48,56,291,30,111,107,125,44,95,12248,10987,5295,123,259,11508,13414,6130,80,44,6143,5013,9042,461,111,7,11,92,115,126,2,12,132,82,40,11,24,20,23,22,31,35,39,51,39,28,33,47,32,36,39,28,30,30,48,37,42,48
"ASV_7",0,0,0,9913,0,1,1,0,0,19903,0,2567,4,0,990,2,778,4,274,2,0,2872,0,1,42,0,516,0,0,156,0,2939,3786,2,0,0,4925,6184,1289,1,0,0,0,0,0,0,0,1055,3,654,0,0,0,4525,10243,0,0,0,5572,1318,0,0,3,2,6320,2261,13,0,26,0,0,0,0,2,0,5,0,0,1,1,2,0,1,3,4,5,0,1,3,0,0,0,9029,2,2,4,0,0,20122,0,2463,3,2,932,3,698,1,284,4,0,2810,1,1,43,0,445,0,0,124,1,2800,3401,0,0,0,4847,5757,1168,0,0,0,0,1,1,2,0,1029,0,606,0,0,0,4429,9901,0,1,2,5379,1265,0,1,8,0,5665,2103,8,0,2,1,0,2,4,1,2,1,0,1,0,1,4,0,3,3,4,2,1,2,1
"ASV_8",836,1643,1396,349,596,936,213,141,266,187,1755,244,329,136,621,905,250,321,130,907,2144,280,261,221,1418,1826,164,522,514,1124,425,102,296,337,873,575,270,208,255,1177,2296,352,423,693,1257,2244,188,292,390,1310,465,119,138,446,1120,1666,587,1157,512,588,536,234,749,256,197,242,1614,1483,403,473,348,2471,2422,2684,2732,2574,1579,2331,2196,1994,2364,1680,1970,1998,3398,2575,2105,2355,2453,769,1749,1437,359,678,1033,264,151,252,205,1941,218,327,152,676,959,208,339,105,894,2060,232,300,232,1528,1861,174,470,493,1134,502,153,320,292,1015,566,266,213,232,1130,2379,312,404,736,1318,2320,196,275,422,1326,508,100,186,450,1140,1811,594,1130,516,603,530,251,759,252,169,250,1683,1593,458,552,291,2407,2501,2593,2926,2575,1675,2392,2421,2098,2427,1706,2008,2060,3346,2702,2344,2293,2528
"ASV_9",40,78,69,4,77,18,27,93,34,7,13,2536,311,75,80,166,299,511,348,106,52,208,266,240,79,72,1045,1725,673,237,168,239,684,1684,331,116,286,213,228,384,287,2991,2782,1348,141,361,2546,3245,1759,53,52,897,3485,3153,107,60,64,220,1983,3117,4064,115,710,3231,4265,4533,363,486,598,924,572,106,88,97,117,97,60,104,93,86,112,104,88,112,107,127,109,90,118,51,56,86,4,55,19,26,109,25,2,14,2917,347,68,99,228,288,565,377,101,71,239,285,220,94,82,1099,1675,796,245,149,264,807,1876,349,106,311,285,246,379,275,3308,3047,1553,132,354,2572,3155,1896,73,59,926,3659,3338,122,81,75,198,2390,3342,4398,136,746,3952,4681,5085,382,502,564,1076,662,90,100,128,122,119,65,95,104,115,118,120,112,91,136,144,144,113,117
"ASV_10",597,685,719,315,584,329,810,553,558,686,575,3437,210,118,510,838,854,257,148,336,641,1026,224,124,537,576,417,557,285,431,215,1660,399,555,381,435,1172,669,744,1661,1090,573,381,278,490,1230,1519,217,184,509,170,1079,716,784,276,428,566,499,829,2223,1880,119,942,246,485,1141,1959,2864,185,866,2527,983,1156,1053,1458,1154,752,1047,1169,1031,1016,790,926,1034,1586,1378,896,1331,1286,532,717,702,310,533,317,797,536,553,615,601,3403,192,137,519,891,882,303,109,336,611,1075,232,131,429,483,410,527,255,413,205,1581,365,577,400,439,1060,688,762,1505,1075,539,391,261,453,1079,1604,222,159,499,170,1061,814,760,263,374,498,488,849,2213,1839,134,942,243,445,1092,2050,3000,160,936,2345,967,1077,1028,1455,1172,791,1112,1112,1008,1129,858,1008,948,1652,1383,973,1213,1320
