"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_1",0.00147602310853044,-0.134760083251377,-0.141881965699524,"ASV_1","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"2","ASV_2",-0.0192152560918498,0.002114648684347,-0.202661615040924,"ASV_2","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"3","ASV_3",-0.0273641081074132,0.00504100296234753,-0.0494132813180306,"ASV_3","Metazoa","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","no_hit"
"4","ASV_4",0.124561917927756,-0.0464818837959895,-0.160604367740648,"ASV_4","Metazoa","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","no_hit"
"5","ASV_5",0.0744331024692653,-0.0756523230658655,-0.130693408063362,"ASV_5","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","no_hit"
"6","ASV_6",0.0391651926702156,-0.048002870971786,-0.114904999657803,"ASV_6","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","no_hit"
"7","ASV_7",0.0879180498616624,-0.0146719453588012,-0.0987975236140297,"ASV_7","Metazoa","Arthropoda","Hexanauplia","Calanoida","Calanidae","no_hit","no_hit"
"8","ASV_8",-0.0534618034624986,0.00872153609013785,-0.171448950681687,"ASV_8","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"9","ASV_9",0.0418482922900998,-0.0158039773647394,-0.170258268567854,"ASV_9","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","no_hit","no_hit"
"10","ASV_10",-0.0126025924611861,0.00554381933237894,-0.183978935315731,"ASV_10","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"11","ASV_11",-0.0913142789413475,0.131700877858858,-0.0769309121349583,"ASV_11","no_hit","unknown","unknown","unknown","unknown","unknown","Acantharian sp. 6201"
"12","ASV_12",-0.035612219378574,-0.0836275433925086,-0.0992114251708968,"ASV_12","Metazoa","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Oikopleura dioica"
"13","ASV_13",-0.11020898915515,-0.0362761298442166,-0.0627049164434972,"ASV_13","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"14","ASV_14",0.0618948235238724,-0.018686495211123,-0.079841979901008,"ASV_14","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","no_hit"
"15","ASV_15",-0.0945431544079443,0.0660744345349651,-0.0716901224436872,"ASV_15","Metazoa","Cnidaria","Hydrozoa","Siphonophorae","no_hit","no_hit","no_hit"
"16","ASV_16",0.0644366619531382,-0.0215003610808495,-0.0804121313870145,"ASV_16","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","no_hit"
"17","ASV_17",0.0297864261985821,-0.0433637338649649,-0.131888056298519,"ASV_17","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","no_hit"
"18","ASV_18",-0.0398291559917174,-0.104321552257107,-0.0364885634689232,"ASV_18","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"19","ASV_19",-0.118001506889602,0.0561239234340634,-0.0719126247467166,"ASV_19","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"20","ASV_20",0.0490541432398496,-0.0313364181323266,-0.0597586113780453,"ASV_20","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Akashiwo","Akashiwo sanguinea"
"21","ASV_21",0.0193894167431189,-0.0668318540658671,-0.0749324741367368,"ASV_21","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros tenuissimus"
"22","ASV_22",-0.016899211581181,-0.0261057355403665,-0.117449229321723,"ASV_22","no_hit","Haptophyta","unknown","Phaeocystales","Phaeocystaceae","Phaeocystis","no_hit"
