"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_1",-0.000811850972471449,-0.152790359044442,0.172873624932468,"ASV_1","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"2","ASV_2",-0.0293277594289361,0.00485438867390011,0.237270004920093,"ASV_2","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"3","ASV_3",-0.0281246121424286,0.012062299355676,0.0749439599347898,"ASV_3","Metazoa","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","no_hit"
"4","ASV_4",0.153217726045902,-0.0520756238654748,0.187144340610355,"ASV_4","Metazoa","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","no_hit"
"5","ASV_5",0.0905298677423596,-0.0802386743405275,0.151757717034569,"ASV_5","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","no_hit"
"6","ASV_6",0.0486209993278344,-0.0523309148968465,0.124667148766085,"ASV_6","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","no_hit"
"7","ASV_7",0.100310114849455,-0.0184320861086182,0.11313381946911,"ASV_7","Metazoa","Arthropoda","Hexanauplia","Calanoida","Calanidae","no_hit","no_hit"
"8","ASV_8",-0.0718035584146619,0.0155574026501668,0.197681164386661,"ASV_8","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"9","ASV_9",0.0523180090880018,-0.0213155798823133,0.192671505702526,"ASV_9","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","no_hit","no_hit"
"10","ASV_10",-0.0197897254760079,0.00884742838462749,0.212354284914795,"ASV_10","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"11","ASV_11",-0.0992320794290797,0.165652414584977,0.0860661205240683,"ASV_11","no_hit","unknown","unknown","unknown","unknown","unknown","Acantharian sp. 6201"
"12","ASV_12",-0.0501535412946416,-0.0964327290066299,0.1124752976504,"ASV_12","Metazoa","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Oikopleura dioica"
"13","ASV_13",-0.125562031990757,-0.0393871307198656,0.0762192986198887,"ASV_13","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"14","ASV_14",0.0619154592969428,-0.0263167536297095,0.0834216578910662,"ASV_14","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","no_hit"
"15","ASV_15",-0.100339325659437,0.0853045554780959,0.0848719550454565,"ASV_15","Metazoa","Cnidaria","Hydrozoa","Siphonophorae","no_hit","no_hit","no_hit"
