"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_1",0.0225636131739689,0.111970028505366,0.0796554188012644,"ASV_1","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"2","ASV_2",0.0315933736021416,0.0209662768402281,0.147452509287958,"ASV_2","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"3","ASV_3",0.0398275998901823,-0.00107349605773435,0.0268930936955605,"ASV_3","Metazoa","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","no_hit"
"4","ASV_4",-0.0564603845268876,0.0750361824344655,0.108460784655896,"ASV_4","Metazoa","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","no_hit"
"5","ASV_5",-0.0242523047901098,0.0784573006191991,0.0908886216256218,"ASV_5","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","no_hit"
"6","ASV_6",-0.00604136788897638,0.0595488484967681,0.0844216731511911,"ASV_6","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","no_hit"
"7","ASV_7",-0.0353719103244893,0.0354338714937476,0.0619834608006055,"ASV_7","Metazoa","Arthropoda","Hexanauplia","Calanoida","Calanidae","no_hit","no_hit"
"8","ASV_8",0.0487094966846793,0.0125960867089045,0.126167441190756,"ASV_8","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"9","ASV_9",-0.00390233205896954,0.0326253487872759,0.131511994074919,"ASV_9","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","no_hit","no_hit"
"10","ASV_10",0.026572642545884,0.0175059750441756,0.137242659353673,"ASV_10","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"11","ASV_11",0.0684197828877395,-0.0777364627627776,0.0707733567315486,"ASV_11","no_hit","unknown","unknown","unknown","unknown","unknown","Acantharian sp. 6201"
"12","ASV_12",0.0357668595196934,0.0650338316314948,0.0674382870767429,"ASV_12","Metazoa","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Oikopleura dioica"
"13","ASV_13",0.0790077110115525,0.0254050859115081,0.042901311842563,"ASV_13","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"14","ASV_14",-0.0422344103825715,0.0322501261065108,0.0706481547752103,"ASV_14","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","no_hit"
"15","ASV_15",0.0692248465144188,-0.0353219398152954,0.0617577944922763,"ASV_15","Metazoa","Cnidaria","Hydrozoa","Siphonophorae","no_hit","no_hit","no_hit"
"16","ASV_16",-0.0441013444821164,0.0407111634356096,0.0646522187049024,"ASV_16","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","no_hit"
"17","ASV_17",0.00100973588070937,0.0447510306535267,0.103692347660561,"ASV_17","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","no_hit"
"18","ASV_18",0.0363144686107482,0.0728713399443145,0.00916486032913498,"ASV_18","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"19","ASV_19",0.0891941475110528,-0.0342494762247042,0.0504488528743002,"ASV_19","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"20","ASV_20",-0.0307467695506346,0.0468112385572028,0.0439674072839043,"ASV_20","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Akashiwo","Akashiwo sanguinea"
