"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_1",0.0109168242719496,0.124107885196253,0.104171546142372,"ASV_1","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"2","ASV_2",0.0285319905251844,0.0119752225122106,0.169848597593464,"ASV_2","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"3","ASV_3",0.0396285800050417,0.000485107798245932,0.029642228863172,"ASV_3","Metazoa","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","no_hit"
"4","ASV_4",-0.0826180038804496,0.0624529156211468,0.130442049499426,"ASV_4","Metazoa","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","no_hit"
"5","ASV_5",-0.0435672771842589,0.0758463281031209,0.110553625054843,"ASV_5","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","no_hit"
"6","ASV_6",-0.0184500203616933,0.0533703603645216,0.100416182002628,"ASV_6","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","no_hit"
"7","ASV_7",-0.0500410788163518,0.02712969640889,0.0694814781993813,"ASV_7","Metazoa","Arthropoda","Hexanauplia","Calanoida","Calanidae","no_hit","no_hit"
"8","ASV_8",0.0514180900041338,0.0051935007730801,0.144053578692845,"ASV_8","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"9","ASV_9",-0.0166324443016459,0.0232000170494776,0.150135343511485,"ASV_9","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","no_hit","no_hit"
"10","ASV_10",0.023101601716536,0.00795219657295269,0.156570843095644,"ASV_10","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"11","ASV_11",0.0802740078400068,-0.0941992380364332,0.0714857687780281,"ASV_11","no_hit","unknown","unknown","unknown","unknown","unknown","Acantharian sp. 6201"
"12","ASV_12",0.033301338612352,0.0724193037329071,0.0820826498000413,"ASV_12","Metazoa","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Oikopleura dioica"
"13","ASV_13",0.0897886813508783,0.0313516539772759,0.0497519124579745,"ASV_13","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"14","ASV_14",-0.0552983828965911,0.0220647813632482,0.0779963485816275,"ASV_14","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","no_hit"
"15","ASV_15",0.0821838631894046,-0.0450430967663012,0.0624780062275721,"ASV_15","Metazoa","Cnidaria","Hydrozoa","Siphonophorae","no_hit","no_hit","no_hit"
"16","ASV_16",-0.0556741142964163,0.0280808339201956,0.0743820625733101,"ASV_16","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","no_hit"
"17","ASV_17",-0.0101517961063226,0.0412191012862058,0.118740241881002,"ASV_17","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","no_hit"
"18","ASV_18",0.0368867541478435,0.0808473489257034,0.0221404632897883,"ASV_18","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"19","ASV_19",0.103150720389783,-0.038982490237168,0.0550909596167158,"ASV_19","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"20","ASV_20",-0.0370430252066497,0.0379778341069439,0.0515894601982196,"ASV_20","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Akashiwo","Akashiwo sanguinea"
"21","ASV_21",-0.00241481777529444,0.0655501150437534,0.0554342565232931,"ASV_21","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros tenuissimus"
"22","ASV_22",0.0210508964791609,0.0268276921123624,0.105439809515484,"ASV_22","no_hit","Haptophyta","unknown","Phaeocystales","Phaeocystaceae","Phaeocystis","no_hit"
"23","ASV_23",-0.0140335937258599,-0.031356912303627,0.0792179816636661,"ASV_23","no_hit","Imbricatea","unknown","Thaumatomonadida","Thaumatomastigidae","Protaspis","no_hit"
"24","ASV_24",0.0377482696370917,0.0430115480525498,0.0724734385393464,"ASV_24","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"25","ASV_25",0.0370707839032863,0.0308119616879887,0.0128087803182498,"ASV_25","Metazoa","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus","no_hit"
"26","ASV_26",0.0955536194535557,-0.0262577314448188,0.0370316002925989,"ASV_26","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"27","ASV_27",0.0993660369277147,0.0179586774680519,0.0216113416625084,"ASV_27","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"28","ASV_28",-0.0416177479892888,-0.0042830724020033,0.0886262264479417,"ASV_28","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium rubrum"
"29","ASV_29",0.0348033622255272,0.0423192099498404,0.075167723322879,"ASV_29","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"30","ASV_30",-0.02271309613673,0.00564875476835387,0.0123209877895441,"ASV_30","Metazoa","Arthropoda","Hexanauplia","Calanoida","no_hit","no_hit","no_hit"
"31","ASV_31",0.0890654485541493,-0.0499132293764046,0.0451938990203169,"ASV_31","no_hit","Euglenozoa","unknown","Diplonemea","unknown","g_","s_"
"32","ASV_32",0.0138219335408887,0.0328222187530472,-0.0100043893950439,"ASV_32","Metazoa","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","no_hit","no_hit"
"33","ASV_33",-0.0119954578808782,-0.0392141009835198,0.113866110552072,"ASV_33","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"34","ASV_34",-0.023756725324439,0.0530622487254353,0.0837585988716649,"ASV_34","no_hit","Bacillariophyta","Coscinodiscophyceae","no_hit","no_hit","no_hit","no_hit"
"35","ASV_35",-0.00320399314393193,0.00780778558789967,-0.00418372791265784,"ASV_35","Metazoa","Chordata","Mammalia","no_hit","no_hit","no_hit","no_hit"
"36","ASV_36",-0.0288998716853633,0.0199086852009183,0.0384517376181972,"ASV_36","no_hit","Ciliophora","Prostomatea","Prorodontida","Plagiocampidae","g_","s_"
"37","ASV_37",0.025775225109657,0.0123012651210141,0.0164134977629697,"ASV_37","Metazoa","Arthropoda","Hexanauplia","Calanoida","Metridinidae","no_hit","no_hit"
"38","ASV_38",0.0730355925406984,-0.00909444777456036,0.0558591674316086,"ASV_38","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"39","ASV_39",0.0823842868732303,-0.0302730365293632,0.034337580789582,"ASV_39","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"40","ASV_41",0.015526471471375,0.0413422944818023,0.0901738059522236,"ASV_41","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"41","ASV_42",0.0568835220761406,0.032594918087531,0.056565382227593,"ASV_42","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"42","ASV_43",-0.0236312507916586,0.0424623000454371,0.0521159891513609,"ASV_43","Metazoa","Arthropoda","Hexanauplia","Calanoida","no_hit","no_hit","no_hit"
"43","ASV_44",0.0751964785338487,0.0314848938590963,0.0286020943709766,"ASV_44","no_hit","unknown","Polycystinea","Nassellaria","Plagiacanthidae","Lithomelissa","Lithomelissa setosa"
"44","ASV_45",-0.00330443911609727,-0.00194526011816259,-7.01017977591871e-05,"ASV_45","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Myrtaceae","no_hit","no_hit"
"45","ASV_46",0.0158169929440045,0.0670288059430118,0.0552158224483922,"ASV_46","no_hit","unknown","unknown","unknown","unknown","unknown","s_"
"46","ASV_47",-0.0359462693304867,-0.0107681675883635,0.092597652888742,"ASV_47","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","no_hit"
"47","ASV_48",-0.0274830172928303,0.0195481231388467,0.058446289567167,"ASV_48","no_hit","Dinophyceae","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum triestinum"
"48","ASV_49",-0.0287708586315896,0.0279331698671625,0.0817574288486102,"ASV_49","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium rubrum"
"49","ASV_50",-0.0313963574923769,0.0423825350112179,0.0690909329485415,"ASV_50","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros brevis"
"50","ASV_51",-0.0457192053551244,0.0124438808004173,0.0679931472695174,"ASV_51","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","no_hit"
"51","ASV_52",0.0278552711525833,0.0638011746256048,0.0406425900558959,"ASV_52","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"52","ASV_53",0.0466614856687505,0.0241561089066617,0.00351285721336214,"ASV_53","no_hit","Imbricatea","unknown","Thaumatomonadida","Thaumatomastigidae","Protaspis","s_"
"53","ASV_54",-0.0426715422470495,0.0353121824635398,0.0608720451013166,"ASV_54","no_hit","Dinophyceae","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","no_hit"
"54","ASV_55",-0.0127807358945933,-0.000554762635552033,0.033655127042438,"ASV_55","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","no_hit"
"55","ASV_56",-0.00394546069681128,0.0606265990397768,0.0380091301137263,"ASV_56","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","no_hit"
"56","ASV_57",0.0157806687042206,0.0545955881746315,0.0380403669764355,"ASV_57","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"57","ASV_58",0.0788388401492678,0.04908472579779,-0.0144915437427106,"ASV_58","Metazoa","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Phacellophora","Phacellophora camtschatica"
"58","ASV_59",0.0168196855644439,0.021658046290284,0.0930776253703206,"ASV_59","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"59","ASV_60",0.0176012090902624,0.0651929074989519,0.0179458308888843,"ASV_60","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Warnowiaceae","g_","s_"
"60","ASV_61",-0.0375456570013822,0.0340375680133918,0.0595487376947216,"ASV_61","no_hit","Bacillariophyta","Bacillariophyceae","no_hit","no_hit","no_hit","no_hit"
"61","ASV_62",-0.0506658410939557,0.0192518629088417,0.0522646205738182,"ASV_62","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Warnowiaceae","g_","s_"
"62","ASV_63",0.0105576462161675,-0.0711314506337604,0.0331721111915889,"ASV_63","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"63","ASV_64",0.0107863836914953,0.010001757136414,0.0295460623170209,"ASV_64","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona decipiens"
"64","ASV_65",0.0138168673523544,-0.0597974876758994,0.0276120028400029,"ASV_65","Metazoa","Cnidaria","Hydrozoa","Siphonophorae","Apolemiidae","Apolemia","no_hit"
"65","ASV_67",-0.00377541426539372,0.00522244895024758,-0.00596469269687676,"ASV_67","Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","no_hit"
"66","ASV_68",-0.00197850023822438,-0.0316953448496559,0.0467895503125566,"ASV_68","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona pulla"
"67","ASV_69",-0.0055739631219326,0.0359838243836589,0.083100626002083,"ASV_69","no_hit","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","no_hit"
"68","ASV_70",-0.0261258883588607,0.002221272916256,0.0448688998032632,"ASV_70","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","no_hit"
"69","ASV_71",0.00857178196085941,0.0710305600801416,0.0634719539291434,"ASV_71","no_hit","Haptophyta","no_hit","no_hit","no_hit","g_","s_"
"70","ASV_72",-0.00561211541342628,-0.0156918726825694,0.10185586893745,"ASV_72","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"71","ASV_73",0.0478778783647301,0.0164135033216356,-0.00177807824142619,"ASV_73","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Ellobiopsidae","g_","s_"
"72","ASV_74",-0.053551382567985,0.0274662290472503,0.0619717367622215,"ASV_74","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"73","ASV_75",0.00204496743297133,-0.00912625521234947,0.00670857575344758,"ASV_75","Metazoa","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","g_","s_"
"74","ASV_76",0.0661356947594802,0.00703926574785142,0.0387748505950884,"ASV_76","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","no_hit"
"75","ASV_77",0.041535007233775,-0.0451757952766361,0.0445228750722715,"ASV_77","Metazoa","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","no_hit","no_hit"
"76","ASV_78",-0.00498851381145225,0.0310393968570337,0.0629323114821933,"ASV_78","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","no_hit"
"77","ASV_79",0.0133580948258532,0.019552584419258,0.0844621982932439,"ASV_79","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"78","ASV_80",0.0610814828132533,0.0647196072622086,-0.00596126803176092,"ASV_80","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"79","ASV_81",0.0116979831218965,0.0466161215941396,0.0664451589579182,"ASV_81","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"80","ASV_82",-0.0456043533628503,0.0383486807773268,0.0616558147373784,"ASV_82","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","no_hit"
"81","ASV_83",0.0658347432373989,0.0309471737109622,0.0260608345631807,"ASV_83","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"82","ASV_84",0.077544018349834,0.015560571331022,0.00933979038589347,"ASV_84","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"83","ASV_85",-0.00627790286071141,0.04707921477899,0.0345101966276036,"ASV_85","no_hit","Dinophyceae","Dinophyceae","Peridiniales","Protoperidiniaceae","g_","s_"
"84","ASV_86",0.0419472287198181,-0.0356031482038875,0.029302163378158,"ASV_86","no_hit","Dinophyceae","Dinophyceae","Coccidiniales","Chytriodiniaceae","Chytriodinium","s_"
"85","ASV_87",-0.0427420370696174,0.0138643995477268,0.0642402797474709,"ASV_87","no_hit","Dinophyceae","Dinophyceae","Peridiniales","Peridiniaceae","Scrippsiella","no_hit"
"86","ASV_88",-0.0246381606760277,0.0091551596410132,0.0539448295082117,"ASV_88","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"87","ASV_89",-0.0214917585780455,0.0377633057733189,0.067103888101546,"ASV_89","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira concaviuscula"
"88","ASV_90",0.010405491432898,0.0640083749419648,0.0503099090573021,"ASV_90","no_hit","Bacillariophyta","Coscinodiscophyceae","Stephanodiscales","Stephanodiscaceae","Cyclotella","no_hit"
"89","ASV_91",0.0614078489405437,0.00749590667214221,0.0420553425195329,"ASV_91","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"90","ASV_92",0.0642405366321573,0.0557845770517499,0.00180040538190862,"ASV_92","no_hit","Dinophyceae","Dinophyceae","Peridiniales","no_hit","no_hit","no_hit"
"91","ASV_93",-0.0413930327948325,0.0282624134753818,0.0508780857423385,"ASV_93","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"92","ASV_94",-0.00520668263875055,0.0456926691589847,0.0664960579171563,"ASV_94","no_hit","unknown","Cryptophyceae","no_hit","no_hit","no_hit","no_hit"
"93","ASV_95",0.0462427956983606,0.0164021030264078,0.0335614758189457,"ASV_95","Metazoa","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","Oncaea","no_hit"
"94","ASV_96",0.0562491717441491,0.000722160662686109,0.0481077991889897,"ASV_96","no_hit","unknown","unknown","unknown","unknown","unknown","Stramenopiles sp. MAST-1C-sp1"
"95","ASV_97",0.0662608224547605,-0.0569051873054961,0.0308718093788731,"ASV_97","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"96","ASV_98",0.000476288230332571,-0.00695318485252701,0.0782373094657148,"ASV_98","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"97","ASV_99",0.0580706245754089,0.0158594023693237,0.0371231719853782,"ASV_99","no_hit","unknown","unknown","unknown","unknown","unknown","uncultured marine eukaryote"
