"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_1",-0.02024410817393,-0.153616758680673,0.131311050131078,"ASV_1","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"2","ASV_2",-0.0411361475625306,-0.0110765466957197,0.211078884297334,"ASV_2","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"3","ASV_3",-0.0310653504095145,0.00612789526912046,0.0506887143952007,"ASV_3","Metazoa","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","no_hit"
"4","ASV_4",0.10228916368189,-0.0722178374546487,0.16850890758542,"ASV_4","Metazoa","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","no_hit"
"5","ASV_5",0.0548046141215204,-0.0898958068484577,0.136613172488706,"ASV_5","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","no_hit"
"6","ASV_6",0.0217474640092391,-0.0569486667807336,0.118620855822402,"ASV_6","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","no_hit"
"7","ASV_7",0.072292028936106,-0.026584238269879,0.0964181325806775,"ASV_7","Metazoa","Arthropoda","Hexanauplia","Calanoida","Calanidae","no_hit","no_hit"
"8","ASV_8",-0.0716871735048213,0.00208239370211354,0.175437509019532,"ASV_8","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"9","ASV_9",0.02224914784874,-0.0315329518551843,0.180905460746963,"ASV_9","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","no_hit","no_hit"
"10","ASV_10",-0.032924607027969,-0.00551940001237313,0.191576673976993,"ASV_10","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"11","ASV_11",-0.0917572872657689,0.13597107105438,0.0812753013219079,"ASV_11","no_hit","unknown","unknown","unknown","unknown","unknown","Acantharian sp. 6201"
"12","ASV_12",-0.0514597256905644,-0.087893654730281,0.0912806628992427,"ASV_12","Metazoa","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Oikopleura dioica"
"13","ASV_13",-0.11988361485782,-0.0279414978771417,0.0510366290599818,"ASV_13","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"14","ASV_14",0.0545980988355437,-0.0330652942038672,0.0852973069268195,"ASV_14","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","no_hit"
"15","ASV_15",-0.0945311859122466,0.0702772982083628,0.0738713706548573,"ASV_15","Metazoa","Cnidaria","Hydrozoa","Siphonophorae","no_hit","no_hit","no_hit"
"16","ASV_16",0.0529090350140373,-0.0335249390902938,0.0843500892846342,"ASV_16","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","no_hit"
"17","ASV_17",0.0122469519761309,-0.0557347108517327,0.136888588699174,"ASV_17","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","no_hit"
"18","ASV_18",-0.0523560185794301,-0.0985554476806776,0.0249759805340948,"ASV_18","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"19","ASV_19",-0.117989316337595,0.0625868187237635,0.0723080956205567,"ASV_19","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"20","ASV_20",0.0378617953480901,-0.0390342358934336,0.0553631788997776,"ASV_20","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Akashiwo","Akashiwo sanguinea"
"21","ASV_21",0.00258846449504067,-0.0671293803520726,0.0650588328354385,"ASV_21","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros tenuissimus"
"22","ASV_22",-0.0300255143348944,-0.0277826622168402,0.120216887878097,"ASV_22","no_hit","Haptophyta","unknown","Phaeocystales","Phaeocystaceae","Phaeocystis","no_hit"
"23","ASV_23",0.0162041701960886,0.0389988233519409,0.0921020264621253,"ASV_23","no_hit","Imbricatea","unknown","Thaumatomonadida","Thaumatomastigidae","Protaspis","no_hit"
"24","ASV_24",-0.0558536683388442,-0.0528429919233852,0.0729849563814695,"ASV_24","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"25","ASV_25",-0.0437135156339826,-0.0210271188688295,0.0256945395105475,"ASV_25","Metazoa","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus","no_hit"
"26","ASV_26",-0.107218756059397,0.0370458719157365,0.0491154169713746,"ASV_26","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"27","ASV_27",-0.116541553865502,-0.0147399322328381,0.0279826915767184,"ASV_27","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"28","ASV_28",0.0555375786555473,0.000951064072903451,0.0934383714991831,"ASV_28","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium rubrum"
"29","ASV_29",-0.047369057192782,-0.0482596614026818,0.0818982143014477,"ASV_29","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"30","ASV_30",0.0140942152701627,-0.00646595455938124,0.0190305165437923,"ASV_30","Metazoa","Arthropoda","Hexanauplia","Calanoida","no_hit","no_hit","no_hit"
"31","ASV_31",-0.101832697561146,0.0726245268950387,0.0532914488321364,"ASV_31","no_hit","Euglenozoa","unknown","Diplonemea","unknown","g_","s_"
"32","ASV_32",-0.0129261726545417,-0.0320662254319162,-0.00316797040275118,"ASV_32","Metazoa","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","no_hit","no_hit"
"33","ASV_33",0.0185857284221149,0.05408077807921,0.124091093082856,"ASV_33","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"34","ASV_34",0.0290813275118498,-0.057812765757928,0.094271075101707,"ASV_34","no_hit","Bacillariophyta","Coscinodiscophyceae","no_hit","no_hit","no_hit","no_hit"
"35","ASV_35",0.000636056302372094,0.000633624449989617,0.000388447702748579,"ASV_35","Metazoa","Chordata","Mammalia","no_hit","no_hit","no_hit","no_hit"
"36","ASV_36",0.0380316069528856,-0.0204633124003894,0.0495183231688133,"ASV_36","no_hit","Ciliophora","Prostomatea","Prorodontida","Plagiocampidae","g_","s_"
"37","ASV_37",-0.0326937569498765,-0.00984333786088121,0.0288120086294186,"ASV_37","Metazoa","Arthropoda","Hexanauplia","Calanoida","Metridinidae","no_hit","no_hit"
"38","ASV_38",-0.0951617987838297,0.0230596017838827,0.0543186299619442,"ASV_38","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"39","ASV_39",-0.0935420838268158,0.0439885449631019,0.0394890352999033,"ASV_39","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"40","ASV_41",-0.0236619533190244,-0.0504138650907074,0.0980718164398698,"ASV_41","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"41","ASV_42",-0.078846858022879,-0.0293170450620337,0.0552373568554367,"ASV_42","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"42","ASV_43",0.02917986555167,-0.0439493189455112,0.0639348379554525,"ASV_43","Metazoa","Arthropoda","Hexanauplia","Calanoida","no_hit","no_hit","no_hit"
"43","ASV_44",-0.0963621114535319,-0.0334084135368517,0.022628459116611,"ASV_44","no_hit","unknown","Polycystinea","Nassellaria","Plagiacanthidae","Lithomelissa","Lithomelissa setosa"
"44","ASV_45",0.000520330855643322,-0.00063018189877365,-0.000298659745448517,"ASV_45","Viridiplantae","Streptophyta","Magnoliopsida","Myrtales","Myrtaceae","no_hit","no_hit"
"45","ASV_46",-0.0276248901472887,-0.0829968722004986,0.0518045239703795,"ASV_46","no_hit","unknown","unknown","unknown","unknown","unknown","s_"
"46","ASV_47",0.046357661366272,0.0150011390504271,0.103688149415557,"ASV_47","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","no_hit"
"47","ASV_48",0.0359238010218564,-0.0276935469086037,0.0545210774304065,"ASV_48","no_hit","Dinophyceae","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum triestinum"
"48","ASV_49",0.0293815331890348,-0.039898526699466,0.0851702127865081,"ASV_49","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium rubrum"
"49","ASV_50",0.0409875819299083,-0.0509948168856327,0.0709070204303234,"ASV_50","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros brevis"
"50","ASV_51",0.0523815269954467,-0.0210110329160118,0.0698811890853686,"ASV_51","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","no_hit"
"51","ASV_52",-0.0439574397566782,-0.0770034781889513,0.0311707060117532,"ASV_52","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"52","ASV_53",-0.0526336184611311,-0.0159346213331615,0.00590009946303085,"ASV_53","no_hit","Imbricatea","unknown","Thaumatomonadida","Thaumatomastigidae","Protaspis","s_"
"53","ASV_54",0.0534119051986868,-0.0358447347301092,0.0602648991028437,"ASV_54","no_hit","Dinophyceae","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","no_hit"
"54","ASV_55",0.0070299959393623,0.00151582908331357,0.0397407121853578,"ASV_55","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","no_hit"
"55","ASV_56",0.00183615996173263,-0.0623582695824079,0.0422017734398181,"ASV_56","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","no_hit"
"56","ASV_57",-0.0326247230258372,-0.0564206532032423,0.0371208516403222,"ASV_57","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"57","ASV_58",-0.0906575889842597,-0.0501724887336444,-0.00993068902059127,"ASV_58","Metazoa","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Phacellophora","Phacellophora camtschatica"
"58","ASV_59",-0.0237319842185214,-0.0239130245860348,0.100868004743207,"ASV_59","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"59","ASV_60",-0.0222768233516336,-0.0713250324057761,0.0248820625379967,"ASV_60","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Warnowiaceae","g_","s_"
"60","ASV_61",0.0433454471355146,-0.0318766423302663,0.0625548629865744,"ASV_61","no_hit","Bacillariophyta","Bacillariophyceae","no_hit","no_hit","no_hit","no_hit"
"61","ASV_62",0.0579257556117019,-0.0264986314984477,0.0609149440943339,"ASV_62","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Warnowiaceae","g_","s_"
"62","ASV_63",0.00356195227714233,0.0848228001198706,0.036420180484076,"ASV_63","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"63","ASV_64",-0.00753163526098246,-0.000809159008574822,0.0362882407229589,"ASV_64","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona decipiens"
"64","ASV_65",-0.0141097554828111,0.0613730154854115,0.0316341373828045,"ASV_65","Metazoa","Cnidaria","Hydrozoa","Siphonophorae","Apolemiidae","Apolemia","no_hit"
"65","ASV_67",0.000507495749129837,-0.00275646463834461,-0.00118451876089453,"ASV_67","Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","no_hit"
"66","ASV_68",-0.00609322302125366,0.0384270395147988,0.046635888297146,"ASV_68","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona pulla"
"67","ASV_69",0.00707008021662526,-0.0373500491526153,0.09098625715855,"ASV_69","no_hit","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","no_hit"
"68","ASV_70",0.0296394515500729,-0.0075088733369746,0.0449318343585519,"ASV_70","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","no_hit"
"69","ASV_71",-0.0164141362489361,-0.0787097225705961,0.0679719912286472,"ASV_71","no_hit","Haptophyta","no_hit","no_hit","no_hit","g_","s_"
"70","ASV_72",0.0112210209571449,0.0242877334264718,0.110787084828032,"ASV_72","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"71","ASV_73",-0.0511911473279153,-0.0163429264289837,0.00136010382374196,"ASV_73","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Ellobiopsidae","g_","s_"
"72","ASV_74",0.0527024556323086,-0.0307922089019108,0.0704539860827118,"ASV_74","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"73","ASV_75",-0.00294220534132744,0.0141810494895064,0.00968711251972494,"ASV_75","Metazoa","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","g_","s_"
"74","ASV_76",-0.080305106230076,0.00166198420974897,0.0383432626293938,"ASV_76","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","no_hit"
"75","ASV_77",-0.0394888269054834,0.0660603901783839,0.0453093977164936,"ASV_77","Metazoa","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","no_hit","no_hit"
"76","ASV_78",0.00717111726473644,-0.0282882308995478,0.0685327605808037,"ASV_78","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","no_hit"
"77","ASV_79",-0.0192562998874443,-0.0226270649268922,0.0878095893305833,"ASV_79","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"78","ASV_80",-0.0773770994843353,-0.0666365571639974,-0.0122973409479227,"ASV_80","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"79","ASV_81",-0.017314250520523,-0.057779104350622,0.0655328991013929,"ASV_81","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"80","ASV_82",0.0556482739785375,-0.0381888042577885,0.0664666526260325,"ASV_82","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","no_hit"
"81","ASV_83",-0.0844171552852652,-0.0278780528529315,0.0195630605225313,"ASV_83","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"82","ASV_84",-0.0872456831279495,-0.00614867191154029,0.0135350194831757,"ASV_84","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"83","ASV_85",0.000875738352224311,-0.0498547659599251,0.0394890552665106,"ASV_85","no_hit","Dinophyceae","Dinophyceae","Peridiniales","Protoperidiniaceae","g_","s_"
"84","ASV_86",-0.0372782718346458,0.0526948632844794,0.031906504588216,"ASV_86","no_hit","Dinophyceae","Dinophyceae","Coccidiniales","Chytriodiniaceae","Chytriodinium","s_"
"85","ASV_87",0.0513403247546944,-0.0160816856072395,0.0639942719249689,"ASV_87","no_hit","Dinophyceae","Dinophyceae","Peridiniales","Peridiniaceae","Scrippsiella","no_hit"
"86","ASV_88",0.0207728490376321,-0.0133290641631929,0.0561041945419246,"ASV_88","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"87","ASV_89",0.027698302144548,-0.0387650550193402,0.0702726494358527,"ASV_89","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira concaviuscula"
"88","ASV_90",-0.0192587137563552,-0.0698139441224868,0.0490099687936346,"ASV_90","no_hit","Bacillariophyta","Coscinodiscophyceae","Stephanodiscales","Stephanodiscaceae","Cyclotella","no_hit"
"89","ASV_91",-0.0774866968797398,0.000364261873294645,0.038011560499368,"ASV_91","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"90","ASV_92",-0.0833835450146848,-0.0536325639619908,-0.00750260656168786,"ASV_92","no_hit","Dinophyceae","Dinophyceae","Peridiniales","no_hit","no_hit","no_hit"
"91","ASV_93",0.0392359774037734,-0.0346935500340503,0.0555269254374678,"ASV_93","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"92","ASV_94",0.00503279154712499,-0.0529140480857921,0.0656207974516827,"ASV_94","no_hit","unknown","Cryptophyceae","no_hit","no_hit","no_hit","no_hit"
"93","ASV_95",-0.0563673812847297,-0.00698175380731869,0.0330951997515772,"ASV_95","Metazoa","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","Oncaea","no_hit"
"94","ASV_96",-0.0721994832947395,0.00799753031958161,0.0424055649701989,"ASV_96","no_hit","unknown","unknown","unknown","unknown","unknown","Stramenopiles sp. MAST-1C-sp1"
"95","ASV_97",-0.0621091596665347,0.0762391355339574,0.03848604658132,"ASV_97","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"96","ASV_98",0.00149281863132502,0.0112252494040106,0.0784404696325739,"ASV_98","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"97","ASV_99",-0.0723681274170657,-0.00605402850856664,0.0355959088080216,"ASV_99","no_hit","unknown","unknown","unknown","unknown","unknown","uncultured marine eukaryote"
"98","ASV_100",0.0326471455176118,-0.0139138967271418,0.0374094621415918,"ASV_100","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"99","ASV_101",-0.0242603026992143,-0.0614037444290564,0.047226773478544,"ASV_101","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Adenoides","Adenoides eludens"
"100","ASV_102",-0.00128112737863452,0.0496930285097089,0.0240098163597995,"ASV_102","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"101","ASV_103",-0.0524172250550735,-0.0443679429797822,-0.0135367320904734,"ASV_103","Metazoa","Annelida","Polychaeta","Terebellida","Terebellidae","Lysilla","Lysilla sp. THS-2012"
"102","ASV_104",0.0372157124615118,-0.02220445298291,0.0458846765916281,"ASV_104","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Spiniferites","Spiniferites ramosus"
"103","ASV_105",-0.0647570783558257,-0.063130089427824,-0.0173847501063272,"ASV_105","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"104","ASV_106",0.020687986584614,-0.00579151356443435,0.0785714164113287,"ASV_106","no_hit","Dinophyceae","Dinophyceae","unknown","unknown","unknown","Dinophyceae sp. UDMS0803"
"105","ASV_107",-0.0513073709207392,0.0624965929240486,0.0466489288307153,"ASV_107","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"106","ASV_108",-0.00893158434721244,0.0167714383308162,0.0277787615728984,"ASV_108","no_hit","unknown","unknown","unknown","unknown","unknown","uncultured marine picoeukaryote"
"107","ASV_109",-0.0118487741555122,-0.0635516018370928,0.0278472839492072,"ASV_109","no_hit","Dinophyceae","Dinophyceae","Peridiniales","Protoperidiniaceae","Islandinium","Islandinium tricingulatum"
"108","ASV_110",-0.0457806752767176,0.00138223272576154,0.0647217492044602,"ASV_110","no_hit","Dinophyceae","Dinophyceae","Peridiniales","Peridiniopsidaceae","Palatinus","Palatinus apiculatus"
"109","ASV_111",-0.0696959875641409,-0.0153799851818721,0.0328401916762244,"ASV_111","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Duboscquellidae","Duboscquella","no_hit"
"110","ASV_112",-0.0888018856800181,-0.0256186991219055,-0.000488930152809374,"ASV_112","no_hit","Dinophyceae","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","no_hit"
"111","ASV_113",-0.0745030957655536,0.038616984525029,0.029562086532959,"ASV_113","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Kareniaceae","g_","s_"
"112","ASV_114",-0.0272908560434515,-0.0304074927272391,0.0383604332429074,"ASV_114","Fungi","Basidiomycota","Exobasidiomycetes","Exobasidiales","Brachybasidiaceae","g_","s_"
"113","ASV_115",0.00895277897222234,-0.0382837347811926,0.0505222148544892,"ASV_115","no_hit","unknown","Cryptophyceae","Pyrenomonadales","Geminigeraceae","Teleaulax","Teleaulax amphioxeia"
"114","ASV_116",0.0377437104257015,-0.0172809575298826,0.0488044688076402,"ASV_116","no_hit","Dinophyceae","Dinophyceae","Peridiniales","Amphidiniopsidaceae","Archaeperidinium","no_hit"
"115","ASV_117",0.0195506226047869,-0.000238713028138627,0.0210665461091266,"ASV_117","no_hit","Oomycota","no_hit","no_hit","no_hit","no_hit","no_hit"
"116","ASV_118",0.00423083511920913,-0.0374432438479669,0.0308741275705315,"ASV_118","no_hit","Dinophyceae","Dinophyceae","Suessiales","unknown","Dactylodinium","Dactylodinium arachnoides"
"117","ASV_119",-0.0410452338788135,-0.0660698513183951,0.0183194274499408,"ASV_119","no_hit","Bacillariophyta","Coscinodiscophyceae","no_hit","no_hit","no_hit","no_hit"
"118","ASV_120",0.0407165614399092,-0.0280823711160287,0.051877310937271,"ASV_120","no_hit","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Haslea","no_hit"
"119","ASV_121",0.0362967099883804,-0.0477310888220108,0.0641041319404667,"ASV_121","no_hit","Ciliophora","Spirotrichea","unknown","Strombidiidae","g_","s_"
"120","ASV_122",0.0248064725193342,-0.0216726302145753,0.0423180706929167,"ASV_122","Metazoa","Arthropoda","Hexanauplia","Poecilostomatoida","Corycaeidae","no_hit","no_hit"
