original_name,depth_sampled_m,Volume_filtered_ml,DNA_quant_ng_ul,total_DNA_extracted_ng,DNA_per_ml_filtered_ng
14223c01_05c_eDNA,300,1000,3.612336113,361.2336113,0.361233611
14223c01_07c_eDNA,200,1500,6.138764072,613.8764072,0.409250938
14223c01_06c_eDNA,250,1000,5.156204932,515.6204932,0.515620493
14223c01_10c_eDNA,20,1100,20.54888794,2054.888794,1.868080722
14223c01_04c_eDNA,400,1000,2.482328044,248.2328044,0.248232804
14223c01_09c_eDNA,60,1000,6.824055391,682.4055391,0.682405539
14223c01_02c_eDNA,600,1000,1.983706232,198.3706232,0.198370623
14223c01_01c_eDNA,700,1000,1.594706868,159.4706868,0.159470687
14223c01_03c_eDNA,500,1000,2.528007936,252.8007936,0.252800794
14223c01_12c_eDNA,0,1000,21.0968143,2109.68143,2.10968143
14223c01_08c_eDNA,100,1500,7.130803068,713.0803068,0.475386871
25424c01_12c_eDNA,0,750,55.75130899,5575.130899,7.433507865
25424c01_10c_eDNA,10,1000,11.32865967,1132.865967,1.132865967
25424c01_09c_eDNA,20,1000,10.44898484,1044.898484,1.044898484
25424c01_06c_eDNA,60,1000,10.65814577,1065.814577,1.065814577
25424c01_03c_eDNA,150,1000,5.485258151,548.5258151,0.548525815
25424c02_12c_eDNA,0,950,43.14839875,4314.839875,4.541936711
25424c02_10c_eDNA,10,1000,19.97781959,1997.781959,1.997781959
25424c02_09c_eDNA,20,1000,14.37025272,1437.025272,1.437025272
25424c02_06c_eDNA,60,1000,8.755204189,875.5204189,0.875520419
25424c02_03c_eDNA,150,1000,3.207583459,320.7583459,0.320758346
25424c03_12c_eDNA,0,850,35.33295494,3533.295494,4.156818228
25424c03_10c_eDNA,10,1000,8.482100705,848.2100705,0.848210071
25424c03_09c_eDNA,20,1000,10.84769641,1084.769641,1.084769641
25424c03_06c_eDNA,60,1000,7.353951431,735.3951431,0.735395143
25424c03_03c_eDNA,150,1000,3.765686716,376.5686716,0.376568672
22624c01_12c_eDNA,0,750,52.82091837,5282.091837,7.042789116
22624c01_10c_eDNA,10,1000,16.01551881,1601.551881,1.601551881
22624c01_09c_eDNA,20,1000,9.930055692,993.0055692,0.993005569
22624c01_06c_eDNA,60,1000,3.688825535,368.8825535,0.368882554
22624c01_03c_eDNA,150,1000,4.463757252,446.3757252,0.446375725
22624c02_12c_eDNA,0,900,49.07028789,4907.028789,5.45225421
22624c02_10c_eDNA,10,1000,37.08231357,3708.231357,3.708231357
22624c02_09c_eDNA,20,1000,36.0877652,3608.77652,3.60877652
22624c02_06c_eDNA,60,1000,6.920015693,692.0015693,0.692001569
22624c02_03c_eDNA,150,1000,5.234971378,523.4971378,0.523497138
