ASV	14223c01_05c_eDNA	14223c01_07c_eDNA	14223c01_06c_eDNA	14223c01_10c_eDNA	14223c01_04c_eDNA	14223c01_09c_eDNA	14223c01_02c_eDNA	14223c01_01c_eDNA	14223c01_03c_eDNA	14223c01_12c_eDNA	14223c01_08c_eDNA	25424c01_12c_eDNA	25424c01_10c_eDNA	25424c01_09c_eDNA	25424c01_06c_eDNA	25424c01_03c_eDNA	25424c02_12c_eDNA	25424c02_10c_eDNA	25424c02_09c_eDNA	25424c02_06c_eDNA	25424c02_03c_eDNA	25424c03_12c_eDNA	25424c03_10c_eDNA	25424c03_09c_eDNA	25424c03_06c_eDNA	25424c03_03c_eDNA	22624c01_12c_eDNA	22624c01_10c_eDNA	22624c01_09c_eDNA	22624c01_06c_eDNA	22624c01_03c_eDNA	22624c02_12c_eDNA	22624c02_10c_eDNA	22624c02_09c_eDNA	22624c02_06c_eDNA	22624c02_03c_eDNA	22624c03_12c_eDNA	22624c03_10c_eDNA	22624c03_09c_eDNA	22624c03_06c_eDNA	22624c03_03c_eDNA	20524c02_12c_eDNA	20524c02_10c_eDNA	20524c02_09c_eDNA	20524c02_06c_eDNA	20524c02_03c_eDNA	20524c01_12c_eDNA	20524c01_10c_eDNA	20524c01_09c_eDNA	20524c01_06c_eDNA	20524c01_03c_eDNA	20524c03_12c_eDNA	20524c03_10c_eDNA	20524c03_09c_eDNA	20524c03_06c_eDNA	20524c03_03c_eDNA	17024c03_03c_eDNA	17024c03_06c_eDNA	17024c03_09c_eDNA	17024c03_10c_eDNA	17024c03_12c_eDNA	17024c02_03c_eDNA	17024c02_06c_eDNA	17024c02_09c_eDNA	17024c02_10c_eDNA	17024c02_12c_eDNA	17024c01_03c_eDNA	17024c01_06c_eDNA	17024c01_09c_eDNA	17024c01_10c_eDNA	17024c01_12c_eDNA	CN24F150mMV2_SC42	CN24F150mMV2_SC43	CN24F150mMV2_SC44	CN24F150mMV2_SC45	CN24F150mMV2_SC46	CN24F150mMV2_SC47	CN24F150mMV2_SC48	CN24F150mMV2_SC49	CN24F150mMV2_SC50	CN24F150mMV2_SC51	CN24F150mMV2_SC52	CN24F150mMV2_SC53	CN24F150mMV2_SC54	CN24F150mMV2_SC55	CN24F150mMV2_SC56	CN24F150mMV2_SC57	CN24F150mMV2_SC58	CN24F150mMV2_SC59	CN24F150mMV2_preblank	CN24F150mMV2_postblank	CN_MBTS_Dual_extraction_P1_DNA_EB	pcrblank1	pcrblank2	Art_Comm_FWAQ
ASV_1	4	11	9	16246	2	2953	6	2	4	7811	521	483	6958	25110	36021	23	752	5218	12313	10344	8	896	4082	18583	28	11140	201	1356	7388	43	62	351	1199	1201	19257	28	14	3884	2805	49	6	149	3387	12868	43143	12	82	2615	4895	51	53	8	1823	193	2495	5	8	7	1651	1389	475	39	11596	10447	9166	4193	11	23	15049	5376	926	13995	16631	12491	58	1308	11536	6507	7823	17021	8683	20656	54	9993	19	3707	21	8582	1617	1	40211	2	0	14	0
ASV_2	248	2	2	3023	0	21302	0	0	0	0	30626	0	3104	0	3	9	0	0	0	2	1	0	7	4	1	17518	0	0	0	3	11	0	0	0	22444	28184	1	0	1171	29724	0	1	0	0	4	10	0	0	3	5	48142	0	0	8	0	0	1	50	860	0	0	3	16703	2965	2897	169	2	1	2	1969	0	6	5	65	10	10759	19068	6988	2	4	8	1	24051	6	6	3	10850	15	7	0	32	0	0	0	0
ASV_3	1663	4489	3468	895	683	517	1084	682	598	732	2505	21037	521	286	968	3972	4077	2473	161	466	1411	1245	552	174	987	873	1504	549	185	847	314	3168	3901	3668	1390	813	1799	3038	3224	1049	1843	1444	2086	1319	1606	1565	1190	357	261	660	840	1004	1184	361	385	1005	16499	568	4499	9398	5266	1955	611	814	1916	11332	2428	817	10567	25916	6515	7013	6263	5815	7451	7835	3335	5456	4941	5767	6542	3454	6738	4527	5812	7308	5878	5291	4357	0	279	0	0	0	0
ASV_4	0	0	0	6178	0	0	18	0	0	4135	0	1084	1	8606	929	2	5563	4558	1540	0	0	10714	12507	1001	177	27	789	0	1958	395	224	7080	7668	1488	0	0	2095	7161	8338	0	0	2248	0	500	1170	0	843	522	2119	0	0	1479	3970	1987	0	0	0	83	11443	11325	12243	4	253	39321	26486	19146	1	0	4122	1366	21309	7	4	4	9	0	1	13	4	0	5	6	1307	3	8	6	7	8	5	0	0	0	0	0	0
ASV_5	0	0	0	34	0	4	6	0	1	30	0	10417	1620	164	127	185	8782	28219	16853	87	42	10285	13238	7182	365	360	4818	5075	633	379	262	5151	10642	7490	89	30	12587	11031	10703	37	45	820	462	113	1	1	1023	1976	490	0	0	384	188	269	0	2	2	11	404	558	649	0	11	50	88	292	1	1	40	129	63	43	30	59	61	57	41	54	51	42	58	66	58	42	52	93	53	83	58	0	1	0	0	0	0
ASV_6	0	0	0	39	0	5	0	0	0	20	0	694	171	37	21	21	361	758	347	16	3	233	256	145	84	18	16	546	2512	774	664	50	66	77	586	35	174	225	212	162	138	22488	22758	9232	298	279	21448	26631	10121	100	62	11503	7679	14469	580	131	11	10	169	213	192	2	19	245	204	66	31	40	23	78	36	46	77	44	67	55	50	47	62	46	46	53	43	33	35	64	49	75	53	0	0	0	0	0	0
ASV_7	0	0	0	16193	0	3	2	0	0	29072	0	5214	5	0	1704	3	1263	5	496	2	0	4933	0	1	46	1	1087	0	0	249	0	5182	6338	2	0	0	7732	12458	2392	2	0	0	0	0	0	0	0	2072	6	867	0	0	0	7315	12771	0	1	0	9125	2156	0	0	10	2	14007	5168	21	0	46	1	0	1	0	3	0	9	0	1	1	2	5	0	3	4	7	5	0	1	3	0	0	0	0	0	0
ASV_8	945	2319	1525	586	596	1393	275	166	276	261	2531	467	387	219	1158	1324	386	655	211	1238	2206	476	370	323	1574	3176	368	906	748	1907	565	194	497	506	1846	810	425	457	445	2396	3022	597	778	1135	2703	2725	336	555	583	1792	904	235	204	726	1365	2285	938	1303	853	991	941	265	1249	537	456	579	2859	2537	885	978	640	4060	3996	4257	4383	4605	2569	3149	2888	3204	3719	2624	4079	3268	3918	3911	3093	3329	3580	0	27	0	0	0	0
ASV_9	670	947	777	485	584	500	1029	625	584	989	848	6959	268	191	882	1211	1380	493	228	476	652	1781	316	176	598	991	943	931	409	680	284	2899	632	830	782	622	1887	1360	1385	3533	1451	1058	732	493	1072	1486	2805	401	290	718	316	1967	1077	1234	336	564	876	575	1377	3747	3383	129	1603	492	1117	2618	3443	4843	381	1777	4531	1653	1931	1684	2392	2067	1243	1435	1515	1638	1600	1209	1988	1628	1836	2073	1333	1838	1826	0	1	0	0	0	0
ASV_10	45	102	73	5	77	24	35	109	34	8	17	5109	388	127	154	250	453	1027	565	140	53	352	391	347	87	120	2305	2854	976	385	213	433	1156	2473	701	153	473	436	407	815	381	5394	5438	2259	277	415	4743	6117	2643	69	100	1666	5055	5180	132	96	114	263	3419	5208	7406	125	1205	6428	9573	10339	619	784	1184	1933	1031	163	158	155	181	189	99	143	123	146	168	167	192	171	115	182	156	144	169	0	35	0	0	0	0
