#ASV	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona similis
ASV_2	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	no_hit
ASV_3	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_4	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	no_hit
ASV_5	Eukaryota	no_hit	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	no_hit
ASV_6	Eukaryota	no_hit	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	no_hit
ASV_7	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Calanidae	no_hit	no_hit
ASV_8	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_9	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_10	Eukaryota	no_hit	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	no_hit	no_hit
ASV_11	Eukaryota	Metazoa	Chordata	Appendicularia	Copelata	Oikopleuridae	Oikopleura	Oikopleura dioica
ASV_12	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	Acantharian sp. 6201
ASV_13	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_14	Eukaryota	Metazoa	Cnidaria	Hydrozoa	Siphonophorae	no_hit	no_hit	no_hit
ASV_15	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_16	Eukaryota	no_hit	unknown	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium	no_hit
ASV_17	Eukaryota	no_hit	unknown	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Alexandrium	no_hit
ASV_18	Eukaryota	no_hit	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	no_hit
ASV_19	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	Akashiwo sanguinea
ASV_20	Eukaryota	no_hit	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros tenuissimus
ASV_21	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_22	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_23	Eukaryota	no_hit	Imbricatea	unknown	Thaumatomonadida	Thaumatomastigidae	Protaspis	no_hit
ASV_24	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	no_hit
ASV_25	Eukaryota	no_hit	Haptophyta	unknown	Phaeocystales	Phaeocystaceae	Phaeocystis	no_hit
ASV_26	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_27	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	Uncultured marine alveolate Group II DH147-EKD16
ASV_28	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_29	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	no_hit	no_hit	no_hit
ASV_30	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium rubrum
ASV_31	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	Metridinidae	no_hit	no_hit
ASV_32	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_33	Eukaryota	Metazoa	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	no_hit	no_hit
ASV_34	Eukaryota	no_hit	Ciliophora	Prostomatea	Prorodontida	Plagiocampidae	Plagiocampa	no_hit
ASV_35	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_36	Eukaryota	no_hit	Euglenozoa	unknown	Diplonemea	unknown	unknown	Diplonemida sp. 21sb RG-2016
ASV_37	Eukaryota	no_hit	Bacillariophyta	Coscinodiscophyceae	no_hit	no_hit	no_hit	no_hit
ASV_38	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_39	Eukaryota	no_hit	unknown	Polycystinea	Nassellaria	Plagiacanthidae	Lithomelissa	Lithomelissa setosa
ASV_40	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	Stramenopiles sp. MAST-1D-sp2
ASV_41	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Calanoida	no_hit	no_hit	no_hit
ASV_42	Eukaryota	no_hit	unknown	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	no_hit
ASV_43	Eukaryota	no_hit	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	no_hit
ASV_44	Eukaryota	no_hit	Imbricatea	unknown	Thaumatomonadida	Thaumatomastigidae	Protaspis	no_hit
ASV_45	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	Stramenopiles sp. MAST-1C-sp1
ASV_46	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium rubrum
ASV_47	Eukaryota	Metazoa	Arthropoda	Insecta	Psocoptera	Liposcelididae	no_hit	no_hit
ASV_48	Eukaryota	no_hit	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Fragilariopsis	no_hit
ASV_49	Eukaryota	no_hit	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros brevis
ASV_50	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Warnowiaceae	Erythropsidinium	no_hit
ASV_51	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_52	Eukaryota	Metazoa	Chordata	Mammalia	no_hit	no_hit	no_hit	no_hit
ASV_53	Eukaryota	no_hit	unknown	Dinophyceae	Gymnodiniales	Warnowiaceae	Erythropsidinium	no_hit
ASV_54	Eukaryota	no_hit	unknown	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum triestinum
ASV_55	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_56	Eukaryota	Metazoa	Cnidaria	Hydrozoa	Siphonophorae	Apolemiidae	Apolemia	no_hit
ASV_57	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	no_hit
ASV_58	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona pulla
ASV_59	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_60	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Myrtales	Myrtaceae	no_hit	no_hit
ASV_61	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona decipiens
ASV_62	Eukaryota	no_hit	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	no_hit
ASV_63	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_64	Eukaryota	Metazoa	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Phacellophora	Phacellophora camtschatica
ASV_65	Eukaryota	no_hit	unknown	Dinophyceae	no_hit	no_hit	no_hit	no_hit
ASV_66	Eukaryota	Metazoa	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	Oithona	Oithona similis
ASV_67	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Ellobiopsidae	Thalassomyces	no_hit
ASV_68	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Dothideales	no_hit	no_hit	no_hit
ASV_69	Eukaryota	no_hit	Bacillariophyta	Bacillariophyceae	no_hit	no_hit	no_hit	no_hit
ASV_70	Eukaryota	Metazoa	Cnidaria	Hydrozoa	Siphonophorae	Diphyidae	no_hit	no_hit
