Phylum,Comparison,OddsRatio,P_Value,Adjusted_P_Value
Euglenozoa,AVITI_Unique_vs_Both,1.94650523401232,3.71345913431064e-17,2.74795975938988e-15
Dinophyceae,MiSeq_Unique_vs_Both,0.460850325871024,3.93657111399652e-10,1.45653131217871e-08
unknown,AVITI_Unique_vs_Both,0.782814492726018,1.36080320490816e-09,3.35664790544013e-08
Foraminifera,AVITI_Unique_vs_Both,4.14278783813183,1.3818034965267e-08,2.55633646857439e-07
unknown,MiSeq_Unique_vs_Both,1.73240994480985,2.59189986171451e-07,3.83601179533747e-06
Arthropoda,AVITI_Unique_vs_Both,1.70026048582259,5.95855502139057e-05,0.000734888452638171
Foraminifera,MiSeq_Unique_vs_Both,7.52005261754267,7.80918902579867e-05,0.000825542839870146
Ciliophora,AVITI_Unique_vs_Both,0.706547636805228,0.000251875784235521,0.00232985100417857
Basidiomycota,MiSeq_Unique_vs_Both,13.9784825718055,0.0011364871808707,0.008943779286506
Cryptista,AVITI_Unique_vs_Both,0.591910077456415,0.00120861882250081,0.008943779286506
Ciliophora,MiSeq_Unique_vs_Both,0.323892909990291,0.00202965095439014,0.0136540155113518
Discosea,MiSeq_Unique_vs_Both,13.9455622379325,0.0051858680957048,0.030404048518245
Endomyxa,AVITI_Unique_vs_Both,2.47252705157167,0.00534125176671871,0.030404048518245
Porifera,MiSeq_Unique_vs_Both,10.4596541113533,0.00862525484448454,0.0455906327494183
Dinophyceae,AVITI_Unique_vs_Both,1.10444528174543,0.00941520664639745,0.0464483527888941
Haptophyta,AVITI_Unique_vs_Both,0.633485531257293,0.0116557414939291,0.0539078044094223
Ochrophyta,AVITI_Unique_vs_Both,0.654017825787657,0.0142912068623997,0.0622087828127985
Basidiomycota,AVITI_Unique_vs_Both,3.70411476822801,0.0162307650479123,0.066726478530306
Chytridiomycota,MiSeq_Unique_vs_Both,6.97216711222532,0.0187089764482136,0.0728665398509373
Porifera,AVITI_Unique_vs_Both,3.08537091243086,0.0384636185254595,0.1423153885442
Ascomycota,AVITI_Unique_vs_Both,2.19508028996977,0.0524737077297112,0.176874592522848
Chordata,AVITI_Unique_vs_Both,0.651943469544127,0.0525843383176035,0.176874592522848
Arthropoda,MiSeq_Unique_vs_Both,1.83844302935637,0.0630465435946774,0.202845401130701
Endomyxa,MiSeq_Unique_vs_Both,3.48350073198212,0.0751600787649163,0.231743576191825
Cryptista,MiSeq_Unique_vs_Both,0.301220189433568,0.0914500965739435,0.250641005424882
Haptophyta,MiSeq_Unique_vs_Both,0.193263385406588,0.0911288493718452,0.250641005424882
Mollusca,AVITI_Unique_vs_Both,2.67322714373436,0.0890546955294083,0.250641005424882
Chlorophyta,AVITI_Unique_vs_Both,1.23397218269767,0.102874569516179,0.271882790864187
Chlorophyta,MiSeq_Unique_vs_Both,0.3915581100761,0.118654274475788,0.292928943223375
Nemertea,MiSeq_Unique_vs_Both,3.9748789774451,0.118754976982449,0.292928943223375
Ascomycota,MiSeq_Unique_vs_Both,3.09045244054283,0.166278705717175,0.353204918527776
Choanoflagellata,MiSeq_Unique_vs_Both,0,0.167056380384759,0.353204918527776
Choanozoa,AVITI_Unique_vs_Both,2.74103430386932,0.162340918476934,0.353204918527776
Discosea,AVITI_Unique_vs_Both,2.74103430386932,0.162340918476934,0.353204918527776
Oomycota,AVITI_Unique_vs_Both,0.642073129923742,0.160933625245888,0.353204918527776
Hemichordata,MiSeq_Unique_vs_Both,6.94200695412551,0.188585990722797,0.387648980930194
Hemichordata,AVITI_Unique_vs_Both,2.87728277888352,0.198320867392555,0.39664173478511
Ctenophora,AVITI_Unique_vs_Both,0.492549071971226,0.209578322882375,0.397661433161429
Haptista,AVITI_Unique_vs_Both,0.492549071971226,0.209578322882375,0.397661433161429
Bigyra,AVITI_Unique_vs_Both,0.835948582400611,0.221251312212589,0.409314927593289
Cercozoa,AVITI_Unique_vs_Both,0.879650942106609,0.237765576715557,0.41853546565841
Choanozoa,MiSeq_Unique_vs_Both,4.62820335025535,0.243203040855562,0.41853546565841
Streptophyta,MiSeq_Unique_vs_Both,2.3168427749053,0.241899049647742,0.41853546565841
Oomycota,MiSeq_Unique_vs_Both,1.81425058743008,0.253134651940966,0.425726460082534
Apicomplexa,MiSeq_Unique_vs_Both,1.92132820868496,0.278353350514642,0.4577366208463
Mollusca,MiSeq_Unique_vs_Both,3.470957621845,0.294152403714701,0.463133571806125
Retaria,MiSeq_Unique_vs_Both,0.633787972515107,0.288722182311906,0.463133571806125
Choanoflagellata,AVITI_Unique_vs_Both,0.770780919009916,0.315386003552007,0.486220088809343
Bigyra,MiSeq_Unique_vs_Both,1.4252967102806,0.327514497122199,0.49461373034781
Euglenozoa,MiSeq_Unique_vs_Both,1.22196647760161,0.367159436610429,0.543395966183434
Retaria,AVITI_Unique_vs_Both,1.09069667386245,0.414983654262541,0.602133145400549
Annelida,AVITI_Unique_vs_Both,0.865275869543902,0.449035736884985,0.626955557160168
Cnidaria,AVITI_Unique_vs_Both,0.865275869543902,0.449035736884985,0.626955557160168
Bacillariophyta,AVITI_Unique_vs_Both,0.925371844682,0.458317023483272,0.628064069217817
Streptophyta,AVITI_Unique_vs_Both,1.37042785425171,0.477693873851423,0.642715393909187
Cercozoa,MiSeq_Unique_vs_Both,0.791537574856362,0.552078982052725,0.729532940569672
Annelida,MiSeq_Unique_vs_Both,0.501650173205205,0.589297232194016,0.765052547058898
Apicomplexa,AVITI_Unique_vs_Both,1.13403311503818,0.629607090316799,0.80329180488695
Perkinsozoa,AVITI_Unique_vs_Both,1.36959784113634,0.736819998897972,0.924147117261863
Bacillariophyta,MiSeq_Unique_vs_Both,0.893186253014912,0.782271344935879,0.937720051517294
Chytridiomycota,AVITI_Unique_vs_Both,1.23271362278715,0.798329233048507,0.937720051517294
Mucoromycota,AVITI_Unique_vs_Both,0.821444821771207,0.791352554279105,0.937720051517294
Prasinodermophyta,AVITI_Unique_vs_Both,0.82149816630934,0.762051794900264,0.937720051517294
Nemertea,AVITI_Unique_vs_Both,1.17397989108626,0.81134563086617,0.938118385689009
Ochrophyta,MiSeq_Unique_vs_Both,1.04041407595243,0.828752294802818,0.943502612544746
Chaetognatha,MiSeq_Unique_vs_Both,0,1,1
Chaetognatha,AVITI_Unique_vs_Both,1.1503965042239,1,1
Chordata,MiSeq_Unique_vs_Both,0.847679426355636,1,1
Cnidaria,MiSeq_Unique_vs_Both,1.0083730021685,1,1
Ctenophora,MiSeq_Unique_vs_Both,0,1,1
Haptista,MiSeq_Unique_vs_Both,0,1,1
Mucoromycota,MiSeq_Unique_vs_Both,0,1,1
Perkinsozoa,MiSeq_Unique_vs_Both,0,1,1
Prasinodermophyta,MiSeq_Unique_vs_Both,0,1,1
