Phylum,Comparison,OddsRatio,P_Value,Adjusted_P_Value
Foraminifera,AVITI_Unique_vs_Both,15.2857177811846,2.67732124884381e-05,0.0022489498490288
Hemichordata,MiSeq_Unique_vs_Both,Inf,0.0233236151603498,0.489795918367347
Rhodophyta,MiSeq_Unique_vs_Both,Inf,0.0233236151603498,0.489795918367347
Discosea,MiSeq_Unique_vs_Both,Inf,0.0233236151603498,0.489795918367347
Hemichordata,AVITI_Unique_vs_Both,Inf,0.0777252502780868,0.725435669262143
Foraminifera,MiSeq_Unique_vs_Both,22.804097929881,0.0685470933903074,0.725435669262143
Nemertea,MiSeq_Unique_vs_Both,44.6997591296676,0.0461698463846692,0.725435669262143
Annelida,AVITI_Unique_vs_Both,2.16543934739835,0.0741972951637788,0.725435669262143
Streptophyta,AVITI_Unique_vs_Both,Inf,0.0777252502780868,0.725435669262143
Euglenozoa,MiSeq_Unique_vs_Both,4.60103865552292,0.231649507735836,1
Euglenozoa,AVITI_Unique_vs_Both,0.508442151518096,0.523618172099453,1
Arthropoda,MiSeq_Unique_vs_Both,3.51566420960008,0.286025401780419,1
Arthropoda,AVITI_Unique_vs_Both,0.990786808115079,1,1
Cnidaria,MiSeq_Unique_vs_Both,2.24244357384717,0.400006583291245,1
Cnidaria,AVITI_Unique_vs_Both,0.896550477831378,1,1
Rhodophyta,AVITI_Unique_vs_Both,0,1,1
Nemertea,AVITI_Unique_vs_Both,2.58303378314966,0.48141453466815,1
Discosea,AVITI_Unique_vs_Both,Inf,0.279569892473118,1
unknown,MiSeq_Unique_vs_Both,0,1,1
unknown,AVITI_Unique_vs_Both,0.719432735251486,0.562155803684542,1
Annelida,MiSeq_Unique_vs_Both,0,1,1
Chordata,MiSeq_Unique_vs_Both,0,1,1
Chordata,AVITI_Unique_vs_Both,1.89945850560091,0.132309167913817,1
Oomycota,MiSeq_Unique_vs_Both,0,1,1
Oomycota,AVITI_Unique_vs_Both,2.58303378314966,0.48141453466815,1
Dinophyceae,MiSeq_Unique_vs_Both,0,0.359866707987021,1
Dinophyceae,AVITI_Unique_vs_Both,0.610769018337975,0.121197113501352,1
Bigyra,MiSeq_Unique_vs_Both,0,1,1
Bigyra,AVITI_Unique_vs_Both,2.09152580596508,0.274019535679881,1
Retaria,MiSeq_Unique_vs_Both,0,1,1
Retaria,AVITI_Unique_vs_Both,0.964821091817082,1,1
Bacillariophyta,MiSeq_Unique_vs_Both,0,0.602921708919117,1
Bacillariophyta,AVITI_Unique_vs_Both,0.611936473368904,0.200595377196841,1
Haptophyta,MiSeq_Unique_vs_Both,0,1,1
Haptophyta,AVITI_Unique_vs_Both,0.566578127634048,0.735278641533846,1
Ciliophora,MiSeq_Unique_vs_Both,0,1,1
Ciliophora,AVITI_Unique_vs_Both,0.933074113185415,1,1
Porifera,MiSeq_Unique_vs_Both,0,1,1
Porifera,AVITI_Unique_vs_Both,5.19701838186443,0.190200234481798,1
Bryozoa,MiSeq_Unique_vs_Both,0,1,1
Bryozoa,AVITI_Unique_vs_Both,1.28997370997275,1,1
Chlorophyta,MiSeq_Unique_vs_Both,0,1,1
Chlorophyta,AVITI_Unique_vs_Both,1.14953915474043,0.762161383682796,1
Streptophyta,MiSeq_Unique_vs_Both,0,1,1
Ochrophyta,MiSeq_Unique_vs_Both,0,1,1
Ochrophyta,AVITI_Unique_vs_Both,0.768145826955684,1,1
Cryptista,MiSeq_Unique_vs_Both,0,1,1
