Phylum,Comparison,OddsRatio,P_Value,Adjusted_P_Value
Euglenozoa,AVITI_Unique_vs_Both,2.26172808432108,5.52417585920444e-29,4.52982420454764e-27
Dinophyceae,MiSeq_Unique_vs_Both,0.478382710058541,6.07735296762066e-08,1.66114314448298e-06
Foraminifera,AVITI_Unique_vs_Both,3.6417531491645,4.57691290145214e-08,1.66114314448298e-06
Ciliophora,AVITI_Unique_vs_Both,0.643880256155126,1.31638987427708e-06,2.698599242268e-05
unknown,MiSeq_Unique_vs_Both,1.70648750073073,6.5720015404559e-06,0.000107780825263477
Cryptista,AVITI_Unique_vs_Both,0.515930747420317,2.78220490384654e-05,0.00038023467019236
unknown,AVITI_Unique_vs_Both,0.867921926091478,0.000158904621038494,0.00186145413216521
Arthropoda,AVITI_Unique_vs_Both,1.60427427221158,0.000221526983877988,0.00227065158474938
Haptophyta,AVITI_Unique_vs_Both,0.543259838829892,0.000589918604808137,0.00537481395491858
Foraminifera,MiSeq_Unique_vs_Both,6.23469022115471,0.00112870097967894,0.0092553480333673
Ascomycota,AVITI_Unique_vs_Both,2.8096636742831,0.00288891820980098,0.0186414172119303
Ciliophora,MiSeq_Unique_vs_Both,0.268245782358154,0.00268498576012889,0.0186414172119303
Endomyxa,AVITI_Unique_vs_Both,2.54051984813492,0.00295534663115969,0.0186414172119303
Discosea,MiSeq_Unique_vs_Both,13.1473501820711,0.00472486770043067,0.0276742251025225
Ochrophyta,AVITI_Unique_vs_Both,0.667309892654552,0.0102456120985474,0.0560093461387258
Basidiomycota,AVITI_Unique_vs_Both,2.91523513247785,0.0122118336160379,0.0625856472821941
Discosea,AVITI_Unique_vs_Both,3.56225897510356,0.0143528790364065,0.069231534175608
Tubulinea,MiSeq_Unique_vs_Both,17.4756972044346,0.0164217923870877,0.0748103875411771
Porifera,AVITI_Unique_vs_Both,2.97916967112588,0.0199538723287181,0.0861167121555204
Mollusca,AVITI_Unique_vs_Both,3.07544040204308,0.0328604723052679,0.134727936451598
Arthropoda,MiSeq_Unique_vs_Both,2.08034000074097,0.0373500998633403,0.139214008581541
Choanozoa,AVITI_Unique_vs_Both,3.45253514517738,0.03617174719626,0.139214008581541
Chordata,AVITI_Unique_vs_Both,0.657809724084667,0.0390497034832741,0.139220681983847
Endomyxa,MiSeq_Unique_vs_Both,4.37958813124711,0.0444727963061315,0.151948720712616
Porifera,MiSeq_Unique_vs_Both,6.99136702023189,0.0515662114135238,0.169137173436358
Bigyra,AVITI_Unique_vs_Both,0.773866499038044,0.0563478798460983,0.171130598051113
Sulcozoa,MiSeq_Unique_vs_Both,Inf,0.0543459915611814,0.171130598051113
Cryptista,MiSeq_Unique_vs_Both,0.186638290146241,0.0628101145288981,0.18394390683463
Basidiomycota,MiSeq_Unique_vs_Both,5.82645949080039,0.0663357192487099,0.187569964772214
Chytridiomycota,MiSeq_Unique_vs_Both,4.99364453665101,0.0823022921458899,0.224959598532099
Apicomplexa,AVITI_Unique_vs_Both,1.44738380937652,0.09580448604815,0.253418317933816
Nemertea,MiSeq_Unique_vs_Both,4.36903174682352,0.0992930899271942,0.254438542938435
Ascomycota,MiSeq_Unique_vs_Both,3.88351555941293,0.117150423182834,0.28253925591154
Euglenozoa,MiSeq_Unique_vs_Both,1.46475061606668,0.116736831157233,0.28253925591154
Chlorophyta,MiSeq_Unique_vs_Both,0.324154417148016,0.129081065726072,0.300022502621062
Retaria,MiSeq_Unique_vs_Both,0.486432953891273,0.131717196272661,0.300022502621062
Hemichordata,MiSeq_Unique_vs_Both,8.71724838417543,0.154362638576703,0.342100982791613
Sulcozoa,AVITI_Unique_vs_Both,Inf,0.164083283694646,0.354074454288447
Haptophyta,MiSeq_Unique_vs_Both,0.24276004883304,0.185263788250667,0.38952899068089
Choanozoa,MiSeq_Unique_vs_Both,5.81142559176515,0.200342920639909,0.391145702201726
Cnidaria,AVITI_Unique_vs_Both,0.785984008095649,0.193175765142733,0.391145702201726
