Phylum,Comparison,OddsRatio,P_Value,Adjusted_P_Value
Foraminifera,AVITI_Unique_vs_Both,15.0081556463283,9.09850867259611e-06,0.000837062797878842
Hemichordata,MiSeq_Unique_vs_Both,Inf,0.0232558139534884,0.356589147286822
Rhodophyta,MiSeq_Unique_vs_Both,Inf,0.0232558139534884,0.356589147286822
Discosea,MiSeq_Unique_vs_Both,Inf,0.0232558139534884,0.356589147286822
Dinophyceae,AVITI_Unique_vs_Both,0.457938868700269,0.0108638706853135,0.356589147286822
Basidiomycota,AVITI_Unique_vs_Both,10.1642802670539,0.0175856990386452,0.356589147286822
Apicomplexa,AVITI_Unique_vs_Both,Inf,0.0370358705850704,0.486757156260926
Nemertea,MiSeq_Unique_vs_Both,44.8334198638619,0.0460370194589463,0.515460643163546
Bacillariophyta,AVITI_Unique_vs_Both,0.507855669889338,0.0504254977007817,0.515460643163546
Foraminifera,MiSeq_Unique_vs_Both,22.8737074486015,0.0683519429803745,0.589684534928949
Annelida,AVITI_Unique_vs_Both,2.08117750136628,0.07050575961107,0.589684534928949
Hemichordata,AVITI_Unique_vs_Both,Inf,0.111551155115512,0.684180418041805
Porifera,AVITI_Unique_vs_Both,6.03151809135606,0.111402718293738,0.684180418041805
Streptophyta,AVITI_Unique_vs_Both,Inf,0.111551155115512,0.684180418041805
Xenacoelomorpha,AVITI_Unique_vs_Both,Inf,0.111551155115512,0.684180418041805
Euglenozoa,MiSeq_Unique_vs_Both,4.61512940435641,0.231044723806326,1
Euglenozoa,AVITI_Unique_vs_Both,0.391019944343071,0.353142242699508,1
Arthropoda,MiSeq_Unique_vs_Both,3.52655490000852,0.285303486109823,1
Arthropoda,AVITI_Unique_vs_Both,0.7578927038737,0.800164136590981,1
Cnidaria,MiSeq_Unique_vs_Both,2.24952099232117,0.399076360939758,1
Cnidaria,AVITI_Unique_vs_Both,1.20716098954826,0.699097887172128,1
Rhodophyta,AVITI_Unique_vs_Both,0,1,1
Nemertea,AVITI_Unique_vs_Both,1.9911660195882,1,1
Discosea,AVITI_Unique_vs_Both,Inf,0.334653465346535,1
