Phylum,Comparison,OddsRatio,P_Value,Adjusted_P_Value
Foraminifera,AVITI_Unique_vs_Both,4.58857210542459,2.93119880863554e-07,1.70009530900861e-05
Dinophyceae,AVITI_Unique_vs_Both,0.363886428589793,2.19478344129385e-07,1.70009530900861e-05
Porifera,AVITI_Unique_vs_Both,6.31489443278537,0.000128775742455781,0.00497932870829019
Bacillariophyta,AVITI_Unique_vs_Both,0.422436679779037,0.000305624446832907,0.00709048716652344
Mollusca,AVITI_Unique_vs_Both,5.93140976175148,0.000249633776729277,0.00709048716652344
Discosea,MiSeq_Unique_vs_Both,87.8162788723059,0.00158455597987163,0.0306347489441849
Basidiomycota,AVITI_Unique_vs_Both,3.6960693051246,0.00212163984026076,0.0351586030671783
Discosea,AVITI_Unique_vs_Both,12.7922384820733,0.00392098296171461,0.0568542529448619
Streptophyta,AVITI_Unique_vs_Both,3.07062651694764,0.00860634429510076,0.102567069593528
Cercozoa,AVITI_Unique_vs_Both,0.429045191827042,0.00884198875806273,0.102567069593528
Porifera,MiSeq_Unique_vs_Both,17.8152322298626,0.0104689508725551,0.110399845565126
Sulcozoa,MiSeq_Unique_vs_Both,Inf,0.0236813778256189,0.208004157127113
Ochrophyta,AVITI_Unique_vs_Both,0.440771756023659,0.0231032695870535,0.208004157127113
Ascomycota,AVITI_Unique_vs_Both,2.65062469600586,0.0251039499980998,0.208004157127113
Choanozoa,AVITI_Unique_vs_Both,5.46702388341357,0.0273875228321965,0.211796843235653
Sulcozoa,AVITI_Unique_vs_Both,Inf,0.0450509239126921,0.307406304345428
Xenacoelomorpha,AVITI_Unique_vs_Both,Inf,0.0450509239126921,0.307406304345428
Hemichordata,MiSeq_Unique_vs_Both,21.2334003641749,0.0694480156146074,0.335665408803936
Arthropoda,MiSeq_Unique_vs_Both,3.70294454456431,0.064531140860219,0.335665408803936
Zoopagomycota,MiSeq_Unique_vs_Both,21.2334003641749,0.0694480156146074,0.335665408803936
Choanozoa,MiSeq_Unique_vs_Both,21.2334003641749,0.0694480156146074,0.335665408803936
Dinophyceae,MiSeq_Unique_vs_Both,0,0.0616244076864055,0.335665408803936
Haptophyta,AVITI_Unique_vs_Both,0.356439800853925,0.0542118539698612,0.335665408803936
unknown,AVITI_Unique_vs_Both,0.547734434928992,0.0623767988613224,0.335665408803936
Rhodophyta,MiSeq_Unique_vs_Both,14.1915935655244,0.0915561621118845,0.424820592199144
Ctenophora,AVITI_Unique_vs_Both,0.179165120293188,0.109434410715858,0.488245832424596
Cryptista,AVITI_Unique_vs_Both,0.465157652223294,0.116145263400034,0.498994464977924
Evosea,AVITI_Unique_vs_Both,Inf,0.126773299890315,0.507093199561262
Nematoda,AVITI_Unique_vs_Both,Inf,0.126773299890315,0.507093199561262
Rhodophyta,AVITI_Unique_vs_Both,3.02898644791431,0.142008118289079,0.549098057384439
Annelida,AVITI_Unique_vs_Both,1.41315128152024,0.155774163428891,0.562623439422023
Bigyra,AVITI_Unique_vs_Both,0.510585571839151,0.160056668111438,0.562623439422023
Choanoflagellata,AVITI_Unique_vs_Both,0.326025607358278,0.1539085896526,0.562623439422023
Oomycota,MiSeq_Unique_vs_Both,6.09319731883499,0.175077127060023,0.564137409415629
Nemertea,MiSeq_Unique_vs_Both,6.09319731883499,0.175077127060023,0.564137409415629
Endomyxa,MiSeq_Unique_vs_Both,6.09319731883499,0.175077127060023,0.564137409415629
Euglenozoa,MiSeq_Unique_vs_Both,2.48940789028829,0.353019725808374,0.751429124459643
Hemichordata,AVITI_Unique_vs_Both,2.7183885677727,0.354774843768347,0.751429124459643
Foraminifera,MiSeq_Unique_vs_Both,2.82651152729435,0.320657250170491,0.751429124459643
Cnidaria,MiSeq_Unique_vs_Both,1.82816396888706,0.325006784979327,0.751429124459643
Cnidaria,AVITI_Unique_vs_Both,1.28721553042178,0.281616449132939,0.751429124459643
Oomycota,AVITI_Unique_vs_Both,1.81726474640473,0.272169349578417,0.751429124459643
Nemertea,AVITI_Unique_vs_Both,1.81726474640473,0.272169349578417,0.751429124459643
Chordata,AVITI_Unique_vs_Both,1.42253196231927,0.282710764989631,0.751429124459643
Ciliophora,MiSeq_Unique_vs_Both,0,0.247331239728334,0.751429124459643
Retaria,AVITI_Unique_vs_Both,0.736447959957996,0.291561454502153,0.751429124459643
Bacillariophyta,MiSeq_Unique_vs_Both,0,0.251976908860005,0.751429124459643
Planctomycetes,AVITI_Unique_vs_Both,Inf,0.356281050390348,0.751429124459643
Bryozoa,AVITI_Unique_vs_Both,2.7183885677727,0.354774843768347,0.751429124459643
Aphelida,AVITI_Unique_vs_Both,Inf,0.356281050390348,0.751429124459643
Hemimastigophora,AVITI_Unique_vs_Both,Inf,0.356281050390348,0.751429124459643
Kinorhyncha,AVITI_Unique_vs_Both,Inf,0.356281050390348,0.751429124459643
Brachiopoda,AVITI_Unique_vs_Both,Inf,0.356281050390348,0.751429124459643
Cryptomycota,AVITI_Unique_vs_Both,Inf,0.356281050390348,0.751429124459643
Haptista,AVITI_Unique_vs_Both,0,0.303537772698804,0.751429124459643
Apicomplexa,AVITI_Unique_vs_Both,1.42857138651006,0.402956419582777,0.834695440564323
Platyhelminthes,AVITI_Unique_vs_Both,0.29993374688145,0.4323872192263,0.879945919828961
Chlorophyta,MiSeq_Unique_vs_Both,1.55111046776009,0.493953728008344,0.987907456016688
Euglenozoa,AVITI_Unique_vs_Both,1.06403611178435,0.842470587128641,1
Chlorophyta,AVITI_Unique_vs_Both,1.07295192506591,0.871918597271629,1
Arthropoda,AVITI_Unique_vs_Both,1.1804418351735,0.584959371010179,1
Annelida,MiSeq_Unique_vs_Both,0.871445095637865,1,1
Zoopagomycota,AVITI_Unique_vs_Both,0.903247903450527,1,1
Ochrophyta,MiSeq_Unique_vs_Both,1.03211618867665,1,1
Endomyxa,AVITI_Unique_vs_Both,0.773098462860062,1,1
Chordata,MiSeq_Unique_vs_Both,0,1,1
Ciliophora,AVITI_Unique_vs_Both,0.870093573943438,0.540010284945499,1
Retaria,MiSeq_Unique_vs_Both,0,0.620906247089334,1
Echinodermata,MiSeq_Unique_vs_Both,0,1,1
Echinodermata,AVITI_Unique_vs_Both,1.44853539488707,0.728882720684768,1
Streptophyta,MiSeq_Unique_vs_Both,0,1,1
Haptophyta,MiSeq_Unique_vs_Both,0,1,1
unknown,MiSeq_Unique_vs_Both,0,0.618993463700277,1
Basidiomycota,MiSeq_Unique_vs_Both,0,1,1
Apicomplexa,MiSeq_Unique_vs_Both,0,1,1
Mollusca,MiSeq_Unique_vs_Both,0,1,1
Cercozoa,MiSeq_Unique_vs_Both,0,0.624345541666348,1
Chaetognatha,MiSeq_Unique_vs_Both,0,1,1
Chaetognatha,AVITI_Unique_vs_Both,1.20515496183814,1,1
Bigyra,MiSeq_Unique_vs_Both,0,1,1
Evosea,MiSeq_Unique_vs_Both,0,1,1
Ascomycota,MiSeq_Unique_vs_Both,0,1,1
Prasinodermophyta,MiSeq_Unique_vs_Both,0,1,1
Prasinodermophyta,AVITI_Unique_vs_Both,0.903247903450527,1,1
Cryptista,MiSeq_Unique_vs_Both,0,1,1
Planctomycetes,MiSeq_Unique_vs_Both,0,1,1
Ctenophora,MiSeq_Unique_vs_Both,0,1,1
